Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2013,1,1,00:00,UTC,0.7,,-0.4,0,,,,0,0
2013,1,1,01:00,UTC,0.8,,-0.3,0,,,,0,0
2013,1,1,02:00,UTC,0.7,,-0.2,0,,,,0,0
2013,1,1,03:00,UTC,0,,-0.8,0,,,,0,0
2013,1,1,04:00,UTC,0.7,,-0.1,0,,,,0,0
2013,1,1,05:00,UTC,0.9,,0.1,0,,,,0,0
2013,1,1,06:00,UTC,1.1,,-0.6,0,,,,0,0
2013,1,1,07:00,UTC,0.7,,-0.3,0,,,,0,0
2013,1,1,08:00,UTC,3.3,,2.6,0,,,,0,0
2013,1,1,09:00,UTC,6.9,,7.7,0.1,,,,0,0.1
2013,1,1,10:00,UTC,6.6,,7.5,0.1,,,,0,0.1
2013,1,1,11:00,UTC,6.7,,7.7,0.1,,,,0,0.1
2013,1,1,12:00,UTC,5.6,,5.8,0.1,,,,0,0.1
2013,1,1,13:00,UTC,2.6,,2.5,0,,,,0,0
2013,1,1,14:00,UTC,0.7,,-0.3,0,,,,0,0
2013,1,1,15:00,UTC,0.4,,-0.2,0,,,,0,0
2013,1,1,16:00,UTC,0.6,,-0.3,0,,,,0,0
2013,1,1,17:00,UTC,0.6,,0,0,,,,0,0
2013,1,1,18:00,UTC,0.3,,-0.5,0,,,,0,0
2013,1,1,19:00,UTC,0.5,,-0.1,0,,,,0,0
2013,1,1,20:00,UTC,0.5,,0.2,0,,,,0,0
2013,1,1,21:00,UTC,0.5,,-0.1,0,,,,0,0
2013,1,1,22:00,UTC,0.4,,0,0,,,,0,0
2013,1,1,23:00,UTC,0.5,,-0.1,0,,,,0,0
2013,1,2,00:00,UTC,0.6,,0.4,0,,,,0,0
2013,1,2,01:00,UTC,0.3,,0.1,0,,,,0,0
2013,1,2,02:00,UTC,0.7,,-0.5,0,,,,0,0
2013,1,2,03:00,UTC,0.9,,0.1,0,,,,0,0
2013,1,2,04:00,UTC,0.7,,0.3,0,,,,0,0
2013,1,2,05:00,UTC,0.2,,-0.4,0,,,,0,0
2013,1,2,06:00,UTC,0.9,,0.3,0,,,,0,0
2013,1,2,07:00,UTC,0.4,,0.1,0,,,,0,0
2013,1,2,08:00,UTC,4.6,,4.1,0,,,,0,0
2013,1,2,09:00,UTC,11.4,,12.3,0.1,,,,0,0.1
2013,1,2,10:00,UTC,16.6,,18.3,0.1,,,,0,0.1
2013,1,2,11:00,UTC,38.6,,39.5,0.1,,,,0,0.1
2013,1,2,12:00,UTC,33.9,,34.4,0.1,,,,0,0.1
2013,1,2,13:00,UTC,9.4,,8.7,0.1,,,,0,0.1
2013,1,2,14:00,UTC,1.4,,0.1,0,,,,0,0
2013,1,2,15:00,UTC,0.8,,-0.8,0,,,,0,0
2013,1,2,16:00,UTC,0.2,,-0.4,0,,,,0,0
2013,1,2,17:00,UTC,1,,-0.5,0,,,,0,0
2013,1,2,18:00,UTC,0.7,,-1,0,,,,0,0
2013,1,2,19:00,UTC,1.3,,-0.5,0,,,,0,0
2013,1,2,20:00,UTC,1.4,,-0.6,0,,,,0,0
2013,1,2,21:00,UTC,0.7,,-0.1,0,,,,0,0
2013,1,2,22:00,UTC,0.4,,-0.9,0,,,,0,0
2013,1,2,23:00,UTC,1.1,,0,0,,,,0,0
2013,1,3,00:00,UTC,0.5,,0.2,0,,,,0,0
2013,1,3,01:00,UTC,0.8,,-0.2,0,,,,0,0
2013,1,3,02:00,UTC,0.9,,-0.7,0,,,,0,0
2013,1,3,03:00,UTC,1.2,,-0.4,0,,,,0,0
2013,1,3,04:00,UTC,0.6,,-0.5,0,,,,0,0
2013,1,3,05:00,UTC,0.7,,-0.1,0,,,,0,0
2013,1,3,06:00,UTC,1.4,,-0.1,0,,,,0,0
2013,1,3,07:00,UTC,1,,0,0,,,,0,0
2013,1,3,08:00,UTC,9.2,,8.7,0.1,,,,0,0.1
2013,1,3,09:00,UTC,28.4,,28.1,0.1,,,,0,0.1
2013,1,3,10:00,UTC,30.3,,31.5,0.1,,,,0,0.1
2013,1,3,11:00,UTC,29.8,,30.3,0.1,,,,0,0.1
2013,1,3,12:00,UTC,30.9,,31.7,0.1,,,,0,0.1
2013,1,3,13:00,UTC,5.2,,5.1,0.1,,,,0,0.1
2013,1,3,14:00,UTC,0.7,,-0.9,0,,,,0,0
2013,1,3,15:00,UTC,0.9,,-0.1,0,,,,0,0
2013,1,3,16:00,UTC,0.9,,-0.5,0,,,,0,0
2013,1,3,17:00,UTC,0.8,,-1.4,0,,,,0,0
2013,1,3,18:00,UTC,0.5,,-1,0,,,,0,0
2013,1,3,19:00,UTC,1,,-0.7,0,,,,0,0
2013,1,3,20:00,UTC,0.3,,-1.1,0,,,,0,0
2013,1,3,21:00,UTC,1,,-1,0,,,,0,0
2013,1,3,22:00,UTC,1,,-1.1,0,,,,0,0
2013,1,3,23:00,UTC,0.7,,-1.4,0,,,,0,0
2013,1,4,00:00,UTC,-0.1,,-0.8,0,,,,0,0
2013,1,4,01:00,UTC,1.2,,-0.2,0,,,,0,0
2013,1,4,02:00,UTC,1.1,,-0.6,0,,,,0,0
2013,1,4,03:00,UTC,0.4,,-0.4,0,,,,0,0
2013,1,4,04:00,UTC,1,,-0.5,0,,,,0,0
2013,1,4,05:00,UTC,0.6,,-0.3,0,,,,0,0
2013,1,4,06:00,UTC,0.2,,-0.3,0,,,,0,0
2013,1,4,07:00,UTC,1.2,,0.6,0,,,,0,0
2013,1,4,08:00,UTC,4.4,,5.5,0,,,,0,0
2013,1,4,09:00,UTC,11.7,,14.9,0.1,,,,0,0.1
2013,1,4,10:00,UTC,39.7,,39.9,0.1,,,,0,0.1
2013,1,4,11:00,UTC,41,,41,0.1,,,,0,0.1
2013,1,4,12:00,UTC,30.3,,30.8,0.1,,,,0,0.1
2013,1,4,13:00,UTC,7.4,,6.6,0,,,,0,0
2013,1,4,14:00,UTC,1.2,,-0.5,0,,,,0,0
2013,1,4,15:00,UTC,0.4,,-1.4,0,,,,0,0
2013,1,4,16:00,UTC,1.4,,-0.7,0,,,,0,0
2013,1,4,17:00,UTC,1.5,,-1,0,,,,0,0
2013,1,4,18:00,UTC,0.7,,-1,0,,,,0,0
2013,1,4,19:00,UTC,0.7,,-1.2,0,,,,0,0
2013,1,4,20:00,UTC,0.4,,-1.3,0,,,,0,0
2013,1,4,21:00,UTC,0.7,,-1.5,0,,,,0,0
2013,1,4,22:00,UTC,0.4,,-0.9,0,,,,0,0
2013,1,4,23:00,UTC,0.4,,-1,0,,,,0,0
2013,1,5,00:00,UTC,0.6,,-0.7,0,,,,0,0
2013,1,5,01:00,UTC,0.8,,-0.3,0,,,,0,0
2013,1,5,02:00,UTC,1.5,,-0.4,0,,,,0,0
2013,1,5,03:00,UTC,0.8,,-0.7,0,,,,0,0
2013,1,5,04:00,UTC,0.7,,-0.9,0,,,,0,0
2013,1,5,05:00,UTC,1.7,,-2.5,0,,,,0,0
2013,1,5,06:00,UTC,1.4,,-1.5,0,,,,0,0
