Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2016,1,1,00:00,UTC,-0.8,0.4,-0.8,286.8,,,,0,0.1
2016,1,1,01:00,UTC,-1.2,-0.1,-1.2,285.5,,,,0,0
2016,1,1,02:00,UTC,-0.8,0.7,-0.9,286.4,,,,0,0
2016,1,1,03:00,UTC,-1,0.4,-1.1,287.9,,,,0,0.1
2016,1,1,04:00,UTC,-0.9,0,-1,285.2,,,,0,0
2016,1,1,05:00,UTC,-1.1,-1,-1.4,283.9,,,,0,0.1
2016,1,1,06:00,UTC,-1,-0.1,-1.3,286.2,,,,0,0.1
2016,1,1,07:00,UTC,-0.9,0.3,-1.1,286.3,,,,0,0.1
2016,1,1,08:00,UTC,1.4,-0.6,1.3,283.1,,,,0,0.1
2016,1,1,09:00,UTC,12.5,-0.1,12.7,280.1,,,,0,0.1
2016,1,1,10:00,UTC,23.9,0.9,24.2,278.3,,,,0,0.1
2016,1,1,11:00,UTC,23.5,-0.8,23.6,278.4,,,,0,0.1
2016,1,1,12:00,UTC,19.7,0.4,19.7,256.7,,,,0,0.1
2016,1,1,13:00,UTC,4.2,0.3,4.1,278.3,,,,0,0.1
2016,1,1,14:00,UTC,-0.3,0.2,-0.6,277.4,,,,0,0.1
2016,1,1,15:00,UTC,-0.8,0.4,-0.9,264.7,,,,0,0.1
2016,1,1,16:00,UTC,-1.4,-0.2,-1.6,272.7,,,,0,0.1
2016,1,1,17:00,UTC,-1.2,-0.6,-1.5,255.4,,,,0,0.1
2016,1,1,18:00,UTC,-1,-0.6,-1.3,272.8,,,,0,0.1
2016,1,1,19:00,UTC,-1.6,-0.5,-1.9,231.9,,,,0,0.1
2016,1,1,20:00,UTC,-1.8,-0.1,-2,213.9,,,,0,0.1
2016,1,1,21:00,UTC,-1,0.2,-1.1,250.1,,,,0,0.1
2016,1,1,22:00,UTC,-1.3,0.4,-1.4,220,,,,0,0.1
2016,1,1,23:00,UTC,-1.4,0.2,-1.5,224.2,,,,0,0.1
2016,1,2,00:00,UTC,-1,0.2,-1.2,264.7,,,,0,0.1
2016,1,2,01:00,UTC,-1,0.5,-1.1,270.3,,,,0,0.1
2016,1,2,02:00,UTC,-0.7,0.5,-0.7,269.6,,,,0,0.1
2016,1,2,03:00,UTC,-0.9,0.2,-0.8,265.8,,,,0,0.1
2016,1,2,04:00,UTC,-1.1,0.2,-1.2,267.2,,,,0,0.1
2016,1,2,05:00,UTC,-0.8,0.3,-1,272.4,,,,0,0.1
2016,1,2,06:00,UTC,-0.7,0.3,-0.9,273.4,,,,0,0
2016,1,2,07:00,UTC,0.1,0.7,0,272.8,,,,0,0.1
2016,1,2,08:00,UTC,3.7,-0.1,3.8,275.6,,,,0,0.1
2016,1,2,09:00,UTC,9.1,0,9.1,274.9,,,,0,0.1
2016,1,2,10:00,UTC,27,0.2,27.4,272,,,,0,0.1
2016,1,2,11:00,UTC,27.6,0.5,27.7,256.4,,,,0,0.1
2016,1,2,12:00,UTC,16.2,0.4,16.6,266.4,,,,0,0.1
2016,1,2,13:00,UTC,5.3,0.6,5.5,269.5,,,,0,0.1
2016,1,2,14:00,UTC,-0.8,0.9,-0.6,269.7,,,,0,0.1
2016,1,2,15:00,UTC,-1.4,-0.3,-1.2,270.3,,,,0,0.1
2016,1,2,16:00,UTC,-1.3,1.4,-0.9,271.5,,,,0,0.1
2016,1,2,17:00,UTC,-0.6,-0.3,-0.3,269.7,,,,0,0.1
2016,1,2,18:00,UTC,-0.9,0.1,-0.7,267.2,,,,0,0.1
2016,1,2,19:00,UTC,-0.8,-0.1,-0.6,264.4,,,,0,0.1
2016,1,2,20:00,UTC,-1.3,-0.2,-1.1,208.2,,,,0,0.1
2016,1,2,21:00,UTC,-2,-0.3,-1.9,215.4,,,,0,0.1
2016,1,2,22:00,UTC,-1.4,0.1,-1.2,227.8,,,,0,0.1
2016,1,2,23:00,UTC,-1.1,1,-0.8,233.2,,,,0,0.1
2016,1,3,00:00,UTC,-1.2,1.1,-0.8,237.5,,,,0,0.1
2016,1,3,01:00,UTC,-1.3,0.6,-1.1,253.3,,,,0,0.1
2016,1,3,02:00,UTC,-0.6,1,-0.4,256,,,,0,0.1
2016,1,3,03:00,UTC,-0.6,0.5,-0.4,259.1,,,,0,0.1
2016,1,3,04:00,UTC,0.1,1,0.4,265.1,,,,0,0.1
2016,1,3,05:00,UTC,-0.7,0.7,-0.8,266.2,,,,0,0.1
2016,1,3,06:00,UTC,-1,0.5,-0.8,268.6,,,,0,0.1
2016,1,3,07:00,UTC,0,0.8,0.3,271.1,,,,0,0.1
2016,1,3,08:00,UTC,5.3,0.9,5.6,271.3,,,,0,0.1
2016,1,3,09:00,UTC,11.5,0.7,11.7,270.6,,,,0,0.1
2016,1,3,10:00,UTC,26.1,1.1,26.7,268.9,,,,0,0.1
2016,1,3,11:00,UTC,25.6,1.4,26.4,255.2,,,,0,0.1
2016,1,3,12:00,UTC,17.3,1,17.6,217.7,,,,0,0.1
2016,1,3,13:00,UTC,6,1.3,6.4,245.2,,,,0,0.1
2016,1,3,14:00,UTC,-1.4,0.2,-1.2,235.2,,,,0,0.1
2016,1,3,15:00,UTC,-1.3,0.5,-1.1,225.6,,,,0,0.1
2016,1,3,16:00,UTC,-1.4,0.2,-1.3,226.2,,,,0,0.1
2016,1,3,17:00,UTC,-2.1,-0.6,-2.1,193.3,,,,0,0.1
2016,1,3,18:00,UTC,-1.3,0.5,-1.1,233.1,,,,0,0.1
2016,1,3,19:00,UTC,-2,-0.3,-2,207.2,,,,0,0.1
2016,1,3,20:00,UTC,-0.8,0.6,-0.6,260.5,,,,0,0.1
2016,1,3,21:00,UTC,-1.5,0.2,-1.5,246.6,,,,0,0.1
2016,1,3,22:00,UTC,-0.6,0.3,-0.4,270.2,,,,0,0.1
2016,1,3,23:00,UTC,-0.8,2.2,-0.8,267.8,,,,0,0.1
2016,1,4,00:00,UTC,-0.1,0.6,-0.4,277.8,,,,0,0
2016,1,4,01:00,UTC,-1.1,-0.1,-1.3,254.7,,,,0,0.1
2016,1,4,02:00,UTC,-0.9,0.2,-1.1,262,,,,0,0.1
2016,1,4,03:00,UTC,-1.2,-0.5,-1.6,267.5,,,,0,0
2016,1,4,04:00,UTC,-1.2,-1.6,-1.1,235.1,,,,0,0.1
2016,1,4,05:00,UTC,-1.8,-0.5,-2,180,,,,0,0.1
2016,1,4,06:00,UTC,-1.9,-0.7,-1.7,182.3,,,,0,0.1
2016,1,4,07:00,UTC,-0.5,-0.6,-0.6,192.8,,,,0,0.1
2016,1,4,08:00,UTC,15.3,0.7,15.5,191.1,,,,0,0.1
2016,1,4,09:00,UTC,31.1,340.4,64.1,179.6,,,,60,0.1
2016,1,4,10:00,UTC,36.7,483,97.3,181.7,,,,60,0.2
2016,1,4,11:00,UTC,37.5,210.3,64.7,184.9,,,,60,0.1
2016,1,4,12:00,UTC,23.7,2.1,24.4,184.5,,,,0,0.1
2016,1,4,13:00,UTC,9.9,13.8,10.6,185.9,,,,0,0.1
2016,1,4,14:00,UTC,-0.8,-0.2,-0.8,208.9,,,,0,0.1
2016,1,4,15:00,UTC,-1.3,0,-1.3,234.6,,,,0,0.1
