Flag,NbPoints,Stdev,TIMESTAMP,ch4
O,12,6.994999885559082,2016-12-16 00:00:00,2114.179931640625
O,12,30.895000457763672,2016-12-16 01:00:00,2113.590087890625
O,12,38.02799987792969,2016-12-16 02:00:00,2071.68994140625
O,12,9.862000465393066,2016-12-16 03:00:00,2052.949951171875
O,12,17.34600067138672,2016-12-16 04:00:00,2049.010009765625
O,12,13.847000122070312,2016-12-16 05:00:00,2070.25
O,12,19.097999572753906,2016-12-16 06:00:00,2045.06005859375
O,8,25.990999221801758,2016-12-16 07:00:00,2062.3701171875
O,12,21.21500015258789,2016-12-16 08:00:00,2030.3199462890625
O,12,10.829000473022461,2016-12-16 09:00:00,2028.800048828125
O,12,2.253999948501587,2016-12-16 10:00:00,2021.0899658203125
N,0,-9.989999771118164,2016-12-16 11:00:00,
O,4,8.274999618530273,2016-12-16 12:00:00,2027.9599609375
O,12,11.491999626159668,2016-12-16 13:00:00,2027.510009765625
O,12,33.13199996948242,2016-12-16 14:00:00,2050.550048828125
O,12,46.19200134277344,2016-12-16 15:00:00,2075.8798828125
O,12,25.606000900268555,2016-12-16 16:00:00,2043.2900390625
O,12,0.7960000038146973,2016-12-16 17:00:00,2015.739990234375
O,12,0.703000009059906,2016-12-16 18:00:00,2021.489990234375
N,0,-9.989999771118164,2016-12-16 19:00:00,
N,0,-9.989999771118164,2016-12-16 20:00:00,
N,0,-9.989999771118164,2016-12-16 21:00:00,
N,0,-9.989999771118164,2016-12-16 22:00:00,
N,0,-9.989999771118164,2016-12-16 23:00:00,
N,0,-9.989999771118164,2016-12-17 00:00:00,
N,0,-9.989999771118164,2016-12-17 01:00:00,
O,4,5.74399995803833,2016-12-17 02:00:00,2142.6201171875
O,12,1.5429999828338623,2016-12-17 03:00:00,2090.530029296875
O,12,1.4420000314712524,2016-12-17 04:00:00,2085.340087890625
O,12,0.7250000238418579,2016-12-17 05:00:00,2089.43994140625
O,12,1.6729999780654907,2016-12-17 06:00:00,2089.330078125
O,12,2.996000051498413,2016-12-17 07:00:00,2086.52001953125
O,12,1.6759999990463257,2016-12-17 08:00:00,2080.2900390625
O,12,1.50600004196167,2016-12-17 09:00:00,2073.969970703125
O,8,0.6200000047683716,2016-12-17 10:00:00,2074.510009765625
O,12,2.759000062942505,2016-12-17 11:00:00,2080.280029296875
O,12,2.9860000610351562,2016-12-17 12:00:00,2089.8701171875
O,12,1.9950000047683716,2016-12-17 13:00:00,2095.820068359375
O,12,1.656000018119812,2016-12-17 14:00:00,2097.27001953125
O,12,3.5179998874664307,2016-12-17 15:00:00,2107.510009765625
O,12,1.2410000562667847,2016-12-17 16:00:00,2106.929931640625
O,4,0.375,2016-12-17 17:00:00,2104.2900390625
O,12,4.533999919891357,2016-12-17 18:00:00,2092.39990234375
O,12,6.7170000076293945,2016-12-17 19:00:00,2090.489990234375
O,12,5.692999839782715,2016-12-17 20:00:00,2099.179931640625
O,12,2.2100000381469727,2016-12-17 21:00:00,2104.72998046875
O,12,2.6110000610351562,2016-12-17 22:00:00,2092.56005859375
O,12,4.270999908447266,2016-12-17 23:00:00,2089.06005859375
O,12,7.742000102996826,2016-12-18 00:00:00,2086.929931640625
O,4,0.1459999978542328,2016-12-18 01:00:00,2082.530029296875
O,12,7.052999973297119,2016-12-18 02:00:00,2095.719970703125
O,12,4.40500020980835,2016-12-18 03:00:00,2107.610107421875
O,12,7.703000068664551,2016-12-18 04:00:00,2114.6201171875
O,12,3.4149999618530273,2016-12-18 05:00:00,2125.830078125
O,12,16.270000457763672,2016-12-18 06:00:00,2139.52001953125
O,12,15.071000099182129,2016-12-18 07:00:00,2128.760009765625
O,8,5.6570000648498535,2016-12-18 08:00:00,2105.7900390625
O,8,9.76200008392334,2016-12-18 09:00:00,2121.52001953125
O,12,10.871999740600586,2016-12-18 10:00:00,2129.719970703125
O,12,1.3739999532699585,2016-12-18 11:00:00,2116.760009765625
O,12,2.385999917984009,2016-12-18 12:00:00,2127.8798828125
O,12,3.440999984741211,2016-12-18 13:00:00,2138.18994140625
O,12,2.186000108718872,2016-12-18 14:00:00,2118.320068359375
O,12,13.869999885559082,2016-12-18 15:00:00,2114.419921875
O,8,11.736000061035156,2016-12-18 16:00:00,2124.419921875
O,12,1.940000057220459,2016-12-18 17:00:00,2087.239990234375
O,12,9.930000305175781,2016-12-18 18:00:00,2094.10009765625
O,12,4.017000198364258,2016-12-18 19:00:00,2104.780029296875
O,12,1.7710000276565552,2016-12-18 20:00:00,2118.409912109375
O,12,18.00200080871582,2016-12-18 21:00:00,2092.93994140625
O,12,14.76200008392334,2016-12-18 22:00:00,2095.919921875
O,8,10.343999862670898,2016-12-18 23:00:00,2104.429931640625
O,8,3.4179999828338623,2016-12-19 00:00:00,2132.719970703125
O,12,6.017000198364258,2016-12-19 01:00:00,2114.949951171875
O,12,8.345000267028809,2016-12-19 02:00:00,2084.320068359375
O,12,1.3569999933242798,2016-12-19 03:00:00,2071.56005859375
O,12,2.6579999923706055,2016-12-19 04:00:00,2065.35009765625
O,12,1.4470000267028809,2016-12-19 05:00:00,2059.929931640625
O,12,1.7730000019073486,2016-12-19 06:00:00,2056.4599609375
O,4,0.08900000154972076,2016-12-19 07:00:00,2053.35009765625
O,12,3.191999912261963,2016-12-19 08:00:00,2056.219970703125
O,12,9.746000289916992,2016-12-19 09:00:00,2020.800048828125
O,12,1.215999960899353,2016-12-19 10:00:00,2015.0999755859375
O,12,1.0750000476837158,2016-12-19 11:00:00,2015.3199462890625
