Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2018,1,1,00:00,UTC,-0.9,0.2,-0.8,305.3,,,,0,0
2018,1,1,01:00,UTC,-0.9,0.2,-1.1,308.8,,,,0,0
2018,1,1,02:00,UTC,-0.7,-0.2,-1.2,311,,,,0,0
2018,1,1,03:00,UTC,-0.9,1.2,-1.3,311.9,,,,0,0
2018,1,1,04:00,UTC,-0.6,1.5,-0.7,313.1,,,,0,0
2018,1,1,05:00,UTC,-0.6,1.4,-0.9,312.7,,,,0,0
2018,1,1,06:00,UTC,-0.7,0.9,-1,314.2,,,,0,0
2018,1,1,07:00,UTC,-0.5,1.1,-0.8,314.4,,,,0,0
2018,1,1,08:00,UTC,5.5,0.9,5.4,315.2,,,,0,0
2018,1,1,09:00,UTC,6.5,0.6,6.6,316.5,,,,0,0
2018,1,1,10:00,UTC,12.5,0.3,12.5,316.6,,,,0,0
2018,1,1,11:00,UTC,8.4,0.2,8.4,317.2,,,,0,0
2018,1,1,12:00,UTC,6,0.1,5.9,316.6,,,,0,0
2018,1,1,13:00,UTC,2.4,0.4,2.3,316.9,,,,0,0
2018,1,1,14:00,UTC,-0.8,0.1,-1,318.7,,,,0,0
2018,1,1,15:00,UTC,-1,0.2,-1.3,319.5,,,,0,0
2018,1,1,16:00,UTC,-0.8,1,-0.9,321,,,,0,0
2018,1,1,17:00,UTC,-1.1,0.6,-1.6,319,,,,0,0
2018,1,1,18:00,UTC,-1.1,1.1,-1.7,316.5,,,,0,0
2018,1,1,19:00,UTC,-0.6,3.1,-0.7,323.4,,,,0,0
2018,1,1,20:00,UTC,-0.8,1.8,-0.7,327.5,,,,0,0
2018,1,1,21:00,UTC,-0.6,1.9,-0.7,331.5,,,,0,0
2018,1,1,22:00,UTC,-0.8,1.5,-0.7,333.6,,,,0,0
2018,1,1,23:00,UTC,-0.9,1,-1.1,322.3,,,,0,0
2018,1,2,00:00,UTC,-1.1,1,-1,312,,,,0,0
2018,1,2,01:00,UTC,-1,1.2,-0.9,327.1,,,,0,0
2018,1,2,02:00,UTC,-1.4,0.7,-1.3,321.5,,,,0,0
2018,1,2,03:00,UTC,-1,1,-0.8,328.2,,,,0,0
2018,1,2,04:00,UTC,-1.1,0,-1.7,327.1,,,,0,0
2018,1,2,05:00,UTC,-1.1,1.2,-1.5,327.9,,,,0,0
2018,1,2,06:00,UTC,-1.2,1,-1.2,320.2,,,,0,0
2018,1,2,07:00,UTC,-0.8,1.1,-0.4,328.2,,,,0,0
2018,1,2,08:00,UTC,2.8,1,2.7,329.6,,,,0,0
2018,1,2,09:00,UTC,7.7,0.7,7.7,321.9,,,,0,0
2018,1,2,10:00,UTC,24.8,1,25.1,320.9,,,,0,0.1
