Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2014,01,07,09,00,00,549.78045
2014,01,07,10,00,00,600.05666
2014,01,07,11,00,00,651.35565
2014,01,07,12,00,00,683.38676
2014,01,07,13,00,00,687.24193
2014,01,07,14,00,00,679.80978
2014,01,07,15,12,00,596.89497
2014,01,07,16,00,00,604.02881
2014,01,07,17,00,00,618.27888
2014,01,07,18,00,00,608.6058
2014,01,07,19,00,00,737.88818
2014,01,07,20,00,00,839.66736
2014,01,07,21,00,00,618.15693
2014,01,07,22,00,00,671.48057
2014,01,07,23,00,00,608.3142
2014,01,08,00,00,00,723.83731
2014,01,08,01,00,00,705.28528
2014,01,08,02,00,00,796.74521
2014,01,08,03,00,00,818.55763
2014,01,08,04,00,00,841.82237
2014,01,08,05,00,00,828.10231
2014,01,08,06,00,00,652.34329
2014,01,08,07,00,00,719.93837
2014,01,08,08,00,00,836.42157
2014,01,08,09,00,00,2818.30142
2014,01,08,10,00,00,2558.93842
2014,01,08,11,00,00,1033.2149
2014,01,08,12,00,00,863.37447
2014,01,08,13,00,00,799.90786
2014,01,08,14,00,00,717.50994
2014,01,08,15,00,00,816.80846
2014,01,08,16,00,00,792.31413
2014,01,08,17,00,00,772.33917
2014,01,08,18,00,00,836.17006
2014,01,08,19,00,00,822.16511
2014,01,08,20,00,00,967.66512
2014,01,08,21,00,00,1007.35932
2014,01,08,22,00,00,828.06189
2014,01,08,23,00,00,675.53807
2014,01,09,00,00,00,707.22052
2014,01,09,01,00,00,690.17108
2014,01,09,02,00,00,631.30707
2014,01,09,03,00,00,569.60902
2014,01,09,04,00,00,479.79723
2014,01,09,05,00,00,496.92808
2014,01,09,06,00,00,628.07683
2014,01,09,07,00,00,570.34067
2014,01,09,08,00,00,449.1735
2014,01,09,09,00,00,436.60775
2014,01,09,10,00,00,295.66448
2014,01,09,11,00,00,497.73717
2014,01,09,12,00,00,247.4704
2014,01,09,13,00,00,312.84559
2014,01,09,14,00,00,396.31816
2014,01,09,15,00,00,273.09688
2014,01,09,16,00,00,396.59927
2014,01,09,17,00,00,336.99987
2014,01,09,18,00,00,358.55358
2014,01,09,19,00,00,356.69699
2014,01,09,20,00,00,130.24392
2014,01,09,21,00,00,98.96365
2014,01,09,22,00,00,121.30108
2014,01,09,23,00,00,270.67763
2014,01,10,00,00,00,319.67681
2014,01,10,01,00,00,93.29197
2014,01,10,02,00,00,66.95982
2014,01,10,03,00,00,73.03534
2014,01,10,04,00,00,127.17137
2014,01,10,05,00,00,158.05892
2014,01,10,06,00,00,134.60708
2014,01,10,07,00,00,109.79534
2014,01,10,08,00,00,116.2296
