Entity,Code,Year,Gas Consumption - TWh,Coal Consumption - TWh,Oil Consumption - TWh
Africa,,2010,980.7318115234375,1164.840087890625,1966.214599609375
Africa,,2011,1060.5269775390625,1147.29931640625,1934.1708984375
Africa,,2012,1146.7703857421875,1118.487060546875,2046.8299560546875
Africa,,2013,1169.7454833984375,1130.16064453125,2121.44140625
Africa,,2014,1202.3199462890625,1183.8060302734375,2143.33349609375
Africa,,2015,1325.35986328125,1119.03857421875,2199.14501953125
Africa,,2016,1370.4951171875,1186.2879638671875,2210.926025390625
Africa,,2017,1448.744873046875,1185.067138671875,2233.08984375
Africa,,2018,1543.55078125,1163.599853515625,2257.501953125
Africa,,2019,1549.72998046875,1231.3167724609375,2262.0361328125
Africa,,2020,1535.972412109375,1157.901123046875,2011.0526123046875
Africa,,2021,1643.8150634765625,1168.7406005859375,2183.5419921875
Africa (BP),,1965,9.543754577636719,323.4961242675781,341.26275634765625
Africa (BP),,1966,10.669916152954102,323.1221923828125,369.486572265625
Africa (BP),,1967,10.545669555664062,330.2915954589844,368.125244140625
Africa (BP),,1968,10.688969612121582,343.5129089355469,389.1998596191406
Africa (BP),,1969,12.491999626159668,346.6429138183594,396.9228820800781
Africa (BP),,1970,15.52032470703125,360.75689697265625,433.7723083496094
Africa (BP),,1971,18.405263900756836,383.0123291015625,473.5654296875
Africa (BP),,1972,24.670656204223633,384.2108154296875,510.6726379394531
Africa (BP),,1973,39.55179214477539,408.91033935546875,549.7197875976562
Africa (BP),,1974,44.51848602294922,425.646240234375,567.7996826171875
Africa (BP),,1975,53.63837814331055,451.08050537109375,596.4046630859375
Africa (BP),,1976,60.98139190673828,481.07415771484375,652.5805053710938
Africa (BP),,1977,68.23419189453125,491.6984558105469,695.1663208007812
Africa (BP),,1978,97.3698959350586,477.8155822753906,732.1810302734375
Africa (BP),,1979,148.8428192138672,507.24700927734375,770.9386596679688
Africa (BP),,1980,186.91397094726562,543.5570678710938,817.2388916015625
Africa (BP),,1981,228.49114990234375,635.7987670898438,883.8618774414062
Africa (BP),,1982,246.73355102539062,701.1759033203125,925.2272338867188
Africa (BP),,1983,271.2753601074219,713.2460327148438,964.5521850585938
Africa (BP),,1984,259.90277099609375,762.8978881835938,981.7520141601562
Africa (BP),,1985,278.8427429199219,787.1658935546875,1007.0918579101562
Africa (BP),,1986,313.2712097167969,805.3560791015625,988.5932006835938
Africa (BP),,1987,323.3843688964844,828.3197021484375,1042.0687255859375
Africa (BP),,1988,358.4445495605469,890.1608276367188,1086.2681884765625
Africa (BP),,1989,371.4710388183594,835.620849609375,1123.926513671875
Africa (BP),,1990,398.6453857421875,877.67822265625,1142.40283203125
Africa (BP),,1991,401.6355895996094,853.7621459960938,1148.7052001953125
Africa (BP),,1992,421.270263671875,858.8311767578125,1170.524658203125
Africa (BP),,1993,412.64398193359375,871.7139282226562,1180.0767822265625
Africa (BP),,1994,431.82794189453125,894.4478149414062,1221.8846435546875
Africa (BP),,1995,461.2434997558594,922.4712524414062,1266.78173828125
Africa (BP),,1996,484.1917419433594,935.2282104492188,1293.97119140625
Africa (BP),,1997,474.47552490234375,959.0191040039062,1332.2730712890625
Africa (BP),,1998,499.3370056152344,937.0389404296875,1363.5086669921875
Africa (BP),,1999,504.01959228515625,966.0107421875,1414.5601806640625
Africa (BP),,2000,556.8223266601562,963.7305297851562,1420.386474609375
Africa (BP),,2001,634.6361694335938,975.92626953125,1432.664306640625
Africa (BP),,2002,670.6053466796875,934.4215698242188,1479.1666259765625
Africa (BP),,2003,711.5067138671875,1017.0484619140625,1524.8150634765625
Africa (BP),,2004,783.0682373046875,1119.1617431640625,1586.5107421875
Africa (BP),,2005,807.7816162109375,1039.0726318359375,1654.9193115234375
Africa (BP),,2006,843.4420776367188,1054.0970458984375,1673.716796875
Africa (BP),,2007,900.0697021484375,1071.63330078125,1734.7408447265625
Africa (BP),,2008,935.162109375,1180.7249755859375,1824.8509521484375
Africa (BP),,2009,940.8606567382812,1176.0020751953125,1885.9764404296875
Africa (BP),,2010,980.7318115234375,1164.840087890625,1966.214599609375
Africa (BP),,2011,1060.5269775390625,1147.29931640625,1934.1708984375
Africa (BP),,2012,1146.7703857421875,1118.4869384765625,2046.8299560546875
Africa (BP),,2013,1169.7454833984375,1130.16064453125,2121.44140625
Africa (BP),,2014,1202.3199462890625,1183.80615234375,2143.33349609375
Africa (BP),,2015,1325.35986328125,1119.03857421875,2199.14501953125
Africa (BP),,2016,1370.4951171875,1186.2879638671875,2210.926025390625
Africa (BP),,2017,1448.7447509765625,1185.067138671875,2233.08984375
Africa (BP),,2018,1543.55078125,1163.599853515625,2257.501953125
Africa (BP),,2019,1549.7298583984375,1231.31689453125,2262.0361328125
Africa (BP),,2020,1535.972412109375,1157.901123046875,2011.0526123046875
Africa (BP),,2021,1643.8150634765625,1168.7406005859375,2183.5419921875
Algeria,DZA,1965,7.430500030517578,0.8141000270843506,15.405251502990723
Algeria,DZA,1966,7.719250202178955,0.7908400297164917,20.272705078125
Algeria,DZA,1967,7.488249778747559,0.6047599911689758,18.942031860351562
Algeria,DZA,1968,7.8732500076293945,0.6396499872207642,20.167301177978516
Algeria,DZA,1969,10.35168743133545,0.8141000270843506,21.30592918395996
Algeria,DZA,1970,9.730875015258789,0.9652900099754333,24.347681045532227
Algeria,DZA,1971,11.049500465393066,0.2674899995326996,27.44005012512207
Algeria,DZA,1972,12.830124855041504,0.23260000348091125,30.121414184570312
Algeria,DZA,1973,17.859188079833984,0.2674899995326996,32.90034484863281
Algeria,DZA,1974,20.67449951171875,0.2209700047969818,36.54384231567383
Algeria,DZA,1975,28.489999771118164,0.27911999821662903,40.63066864013672
Algeria,DZA,1976,33.6875,0.5466099977493286,46.71773147583008
Algeria,DZA,1977,35.901248931884766,0.7094299793243408,52.80649185180664
Algeria,DZA,1978,57.653751373291016,0.36052998900413513,54.60794448852539
Algeria,DZA,1979,81.52375030517578,0.8373600244522095,65.31861877441406
Algeria,DZA,1980,109.43624877929688,0.7443199753761292,66.20243072509766
Algeria,DZA,1981,142.25750732421875,0.5233500003814697,71.32307434082031
Algeria,DZA,1982,161.4112548828125,9.711050033569336,75.57341766357422
Algeria,DZA,1983,176.71499633789062,8.664349555969238,84.89241790771484
Algeria,DZA,1984,155.25125122070312,9.606380462646484,94.00200653076172
Algeria,DZA,1985,153.8074951171875,10.025059700012207,96.55380249023438
Algeria,DZA,1986,168.4375,10.292550086975098,98.02125549316406
Algeria,DZA,1987,172.28750610351562,12.304539680480957,99.10052490234375
Algeria,DZA,1988,194.13624572753906,11.571849822998047,99.17259979248047
Algeria,DZA,1989,182.6824951171875,9.780830383300781,103.93666076660156
Algeria,DZA,1990,195.0987548828125,7.664169788360596,111.81161499023438
Algeria,DZA,1991,192.6925048828125,7.908400058746338,110.6277847290039
Algeria,DZA,1992,198.94874572753906,9.397040367126465,111.29265594482422
Algeria,DZA,1993,178.5437469482422,7.65254020690918,110.75487518310547
Algeria,DZA,1994,188.1687469482422,7.210599899291992,106.05089569091797
Algeria,DZA,1995,202.22125244140625,7.210599899291992,103.14228057861328
Algeria,DZA,1996,207.70750427246094,3.3959600925445557,98.42208099365234
Algeria,DZA,1997,194.0399932861328,5.954559803009033,97.64341735839844
Algeria,DZA,1998,200.68124389648438,6.373239994049072,100.65874481201172
Algeria,DZA,1999,205.10874938964844,6.826809883117676,98.89834594726562
Algeria,DZA,2000,191.012939453125,5.640550136566162,103.13247680664062
Algeria,DZA,2001,197.32212829589844,6.512800216674805,106.77533721923828
Algeria,DZA,2002,194.83888244628906,8.548049926757812,118.39723205566406
Algeria,DZA,2003,205.9316864013672,7.0477800369262695,123.17411804199219
Algeria,DZA,2004,211.89918518066406,8.408490180969238,128.746826171875
Algeria,DZA,2005,223.55987548828125,6.908219814300537,134.21337890625
Algeria,DZA,2006,228.49749755859375,10.257659912109375,139.84571838378906
Algeria,DZA,2007,233.8068084716797,8.803910255432129,156.38999938964844
Algeria,DZA,2008,244.0418701171875,8.803910255432129,169.9158935546875
Algeria,DZA,2009,262.11761474609375,5.652180194854736,180.13442993164062
Algeria,DZA,2010,253.27224731445312,3.605299949645996,181.61192321777344
Algeria,DZA,2011,267.9696350097656,3.1982500553131104,192.22764587402344
Algeria,DZA,2012,298.7407531738281,3.3959600925445557,204.395263671875
Algeria,DZA,2013,321.2151184082031,1.8375400304794312,213.57638549804688
Algeria,DZA,2014,360.9182434082031,2.0817699432373047,221.92515563964844
Algeria,DZA,2015,379.2250061035156,1.5467900037765503,236.1484832763672
Algeria,DZA,2016,385.9624938964844,0.5698699951171875,229.56385803222656
Algeria,DZA,2017,394.625,2.1166601181030273,225.51211547851562
Algeria,DZA,2018,434.0874938964844,5.815000057220459,229.52760314941406
Algeria,DZA,2019,450.5462646484375,4.803190231323242,237.48719787597656
Algeria,DZA,2020,436.01251220703125,4.816349506378174,211.63516235351562
Algeria,DZA,2021,458.1499938964844,4.803190231323242,219.8415985107422
Argentina,ARG,1965,41.23400115966797,8.455049514770508,275.2071838378906
Argentina,ARG,1966,44.65719985961914,6.971818447113037,283.8664855957031
Argentina,ARG,1967,46.6994514465332,7.840396881103516,290.72381591796875
Argentina,ARG,1968,51.999576568603516,7.619035243988037,296.7826232910156
Argentina,ARG,1969,51.805076599121094,9.122170448303223,307.9983215332031
Argentina,ARG,1970,58.544498443603516,11.7225980758667,278.42193603515625
Argentina,ARG,1971,63.20277404785156,10.277542114257812,296.48773193359375
Argentina,ARG,1972,70.92442321777344,8.651294708251953,295.1728515625
Argentina,ARG,1973,80.70777130126953,9.496521949768066,297.2388000488281
Argentina,ARG,1974,85.42440032958984,11.825922012329102,297.09722900390625
Argentina,ARG,1975,87.5250015258789,11.510940551757812,281.2694396972656
Argentina,ARG,1976,98.51425170898438,11.642585754394531,290.1952819824219
Argentina,ARG,1977,102.8905029296875,11.008502960205078,305.6309814453125
Argentina,ARG,1978,100.07025146484375,13.419195175170898,297.2691345214844
Argentina,ARG,1979,102.8905029296875,12.501673698425293,319.8497619628906
Argentina,ARG,1980,112.1292495727539,11.1445894241333,296.97796630859375
Argentina,ARG,1981,117.18624877929688,10.560466766357422,278.56591796875
Argentina,ARG,1982,133.13525390625,10.666075706481934,265.0183410644531
Argentina,ARG,1983,143.15199279785156,9.679963111877441,268.7532043457031
Argentina,ARG,1984,152.3907470703125,7.185223579406738,255.6005859375
Argentina,ARG,1985,155.69725036621094,10.599605560302734,237.52023315429688
Argentina,ARG,1986,168.24249267578125,12.109349250793457,249.71896362304688
Argentina,ARG,1987,168.33975219726562,13.439672470092773,266.5530700683594
Argentina,ARG,1988,196.63949584960938,13.77234935760498,268.333740234375
Argentina,ARG,1989,206.5590057373047,14.9027681350708,246.32073974609375
Argentina,ARG,1990,197.32025146484375,12.266132354736328,229.95970153808594
Argentina,ARG,1991,200.9185028076172,10.794012069702148,240.2567138671875
Argentina,ARG,1992,217.25650024414062,12.168163299560547,252.69297790527344
Argentina,ARG,1993,229.41275024414062,8.069987297058105,247.75331115722656
Argentina,ARG,1994,235.8312530517578,7.0651068687438965,261.4820556640625
Argentina,ARG,1995,262.4777526855469,7.4141526222229,259.5302734375
Argentina,ARG,1996,301.1832580566406,7.766816139221191,259.7977294921875
Argentina,ARG,1997,277.551513671875,6.127713680267334,275.286376953125
Argentina,ARG,1998,296.7097473144531,8.237409591674805,283.2720947265625
Argentina,ARG,1999,314.70098876953125,9.885469436645508,286.9597473144531
Argentina,ARG,2000,322.9672546386719,7.5126471519470215,264.8978271484375
Argentina,ARG,2001,302.3502502441406,6.1568522453308105,245.29501342773438
Argentina,ARG,2002,294.3757629394531,4.586296558380127,232.81517028808594
Argentina,ARG,2003,336.2904968261719,5.593864917755127,237.42205810546875
Argentina,ARG,2004,368.09124755859375,9.519819259643555,254.6864471435547
Argentina,ARG,2005,392.8900146484375,10.961645126342773,266.75811767578125
Argentina,ARG,2006,406.5050048828125,9.923820495605469,281.35174560546875
Argentina,ARG,2007,427.12200927734375,14.360361099243164,313.74554443359375
Argentina,ARG,2008,431.8872375488281,17.516069412231445,317.0516662597656
Argentina,ARG,2009,418.3555908203125,9.620938301086426,303.0577087402344
Argentina,ARG,2010,420.8741760253906,13.47208023071289,328.1579895019531
Argentina,ARG,2011,438.39788818359375,14.618645668029785,340.0057678222656
Argentina,ARG,2012,456.64208984375,13.669180870056152,361.25640869140625
Argentina,ARG,2013,460.2768859863281,14.939302444458008,383.78350830078125
Argentina,ARG,2014,461.5498046875,15.891716957092285,379.9156188964844
Argentina,ARG,2015,466.52569580078125,15.814128875732422,387.30865478515625
Argentina,ARG,2016,482.10009765625,12.188641548156738,375.2942199707031
Argentina,ARG,2017,483.0002746582031,12.525287628173828,370.8971862792969
Argentina,ARG,2018,487.02142333984375,13.709147453308105,353.210693359375
Argentina,ARG,2019,465.58917236328125,8.12396240234375,324.72259521484375
Argentina,ARG,2020,439.31243896484375,10.015325546264648,297.3770751953125
Argentina,ARG,2021,459.3515625,18.253904342651367,340.5950622558594
Asia,,1965,94.07476806640625,2604.7841796875,2232.485107421875
Asia,,1966,108.52650451660156,2753.782958984375,2505.8291015625
Asia,,1967,126.21153259277344,2667.2109375,2878.504638671875
Asia,,1968,148.6493682861328,2708.16845703125,3250.342529296875
Asia,,1969,183.480224609375,3056.827392578125,3744.90283203125
Asia,,1970,218.3395233154297,3440.95361328125,4295.11669921875
Asia,,1971,249.01791381835938,3697.762939453125,4780.21923828125
Asia,,1972,276.8143005371094,3842.57470703125,5166.904296875
Asia,,1973,338.357177734375,3932.507568359375,5872.8994140625
Asia,,1974,400.50830078125,4027.6376953125,5863.51416015625
Asia,,1975,459.1583557128906,4352.3564453125,5818.068359375
Asia,,1976,511.2312316894531,4453.99560546875,6275.46923828125
Asia,,1977,619.9296264648438,4754.66845703125,6687.2685546875
Asia,,1978,733.88720703125,4987.23486328125,7108.48828125
Asia,,1979,894.3801879882812,5233.939453125,7371.07080078125
Asia,,1980,932.2665405273438,5541.41943359375,6965.99267578125
Asia,,1981,957.2913818359375,5723.564453125,6899.109375
Asia,,1982,1022.4517211914062,5951.46435546875,6872.51904296875
Asia,,1983,1100.34033203125,6326.96728515625,7120.4736328125
Asia,,1984,1353.0008544921875,6892.806640625,7476.6640625
Asia,,1985,2157.772216796875,7993.0048828125,8199.693359375
Asia,,1986,2427.47412109375,8322.275390625,8385.080078125
Asia,,1987,2586.566650390625,8908.0439453125,8673.916015625
Asia,,1988,2777.1806640625,9504.19140625,9304.53515625
Asia,,1989,3012.629638671875,9890.9404296875,9747.5751953125
Asia,,1990,3132.3740234375,10067.662109375,10316.576171875
Asia,,1991,3316.261962890625,10460.0224609375,10674.0966796875
Asia,,1992,3529.38037109375,10791.1630859375,11296.7236328125
Asia,,1993,3513.726318359375,11286.32421875,11734.9140625
Asia,,1994,3796.997314453125,11824.197265625,12348.587890625
Asia,,1995,4033.9580078125,12006.1630859375,13025.046875
Asia,,1996,4316.7431640625,12509.9345703125,13584.3447265625
Asia,,1997,4538.3779296875,12527.6318359375,14226.380859375
Asia,,1998,4738.89208984375,12504.703125,13953.072265625
Asia,,1999,5115.05517578125,12813.23046875,14394.84765625
Asia,,2000,5395.23291015625,13317.103515625,14903.107421875
Asia,,2001,5743.8115234375,13945.783203125,15058.3505859375
Asia,,2002,6074.9990234375,15021.7255859375,15456.154296875
Asia,,2003,6503.4501953125,17196.30859375,16080.263671875
Asia,,2004,6988.33740234375,19349.208984375,17059.1640625
Asia,,2005,7521.40869140625,21995.962890625,17239.044921875
Asia,,2006,7977.5400390625,23728.765625,17689.326171875
Asia,,2007,8605.5751953125,25784.416015625,18248.25
Asia,,2008,9200.06640625,26500.443359375,18480.46484375
Asia,,2009,9460.3935546875,27379.115234375,18629.806640625
Asia,,2010,10398.671875,28691.029296875,19729.689453125
Asia,,2011,11160.1025390625,30863.794921875,20295.57421875
Asia,,2012,11738.724609375,31625.37890625,21202.185546875
Asia,,2013,12044.9072265625,32274.052734375,21588.267578125
Asia,,2014,12535.0390625,32904.2734375,21946.3671875
Asia,,2015,12983.826171875,32640.431640625,22738.82421875
Asia,,2016,13336.904296875,32643.13671875,23536.892578125
Asia,,2017,13976.3056640625,33240.15234375,24108.03515625
Asia,,2018,14723.5185546875,34077.93359375,24619.2109375
Asia,,2019,15092.2890625,34519.42578125,24867.578125
Asia,,2020,15312.1796875,34101.3046875,23417.275390625
Asia,,2021,16249.4970703125,36037.97265625,24457.224609375
Asia Pacific (BP),,1965,56.23196792602539,2780.7314453125,1932.267822265625
Asia Pacific (BP),,1966,62.389251708984375,2931.51220703125,2202.67822265625
Asia Pacific (BP),,1967,71.39151000976562,2854.298583984375,2566.6279296875
Asia Pacific (BP),,1968,77.81803131103516,2896.733154296875,2932.802490234375
Asia Pacific (BP),,1969,102.60042572021484,3250.187744140625,3406.340576171875
Asia Pacific (BP),,1970,142.32472229003906,3631.138671875,3952.282958984375
Asia Pacific (BP),,1971,170.55856323242188,3886.670654296875,4395.81396484375
Asia Pacific (BP),,1972,196.7801055908203,4036.59130859375,4737.7041015625
Asia Pacific (BP),,1973,243.52914428710938,4134.17626953125,5385.2841796875
Asia Pacific (BP),,1974,305.9261779785156,4234.736328125,5350.23388671875
Asia Pacific (BP),,1975,349.8788146972656,4557.451171875,5319.1279296875
Asia Pacific (BP),,1976,405.07989501953125,4665.6806640625,5660.66943359375
Asia Pacific (BP),,1977,498.9842224121094,4975.578125,5951.2060546875
Asia Pacific (BP),,1978,598.1110229492188,5219.2958984375,6319.11474609375
Asia Pacific (BP),,1979,683.513671875,5472.1630859375,6476.150390625
Asia Pacific (BP),,1980,734.6104736328125,5784.005859375,6096.11279296875
Asia Pacific (BP),,1981,744.4579467773438,5975.0361328125,5921.8798828125
Asia Pacific (BP),,1982,774.537353515625,6185.46142578125,5761.0556640625
Asia Pacific (BP),,1983,855.293212890625,6548.0810546875,5803.59326171875
Asia Pacific (BP),,1984,1000.5267944335938,7115.330078125,6033.3076171875
Asia Pacific (BP),,1985,1087.1435546875,7676.92626953125,5978.92333984375
Asia Pacific (BP),,1986,1186.6627197265625,7972.3310546875,6186.16943359375
Asia Pacific (BP),,1987,1259.714599609375,8546.4541015625,6384.78466796875
Asia Pacific (BP),,1988,1343.3665771484375,9157.7802734375,6938.07666015625
Asia Pacific (BP),,1989,1405.80419921875,9570.2529296875,7364.8740234375
Asia Pacific (BP),,1990,1516.6710205078125,9775.46875,7807.16552734375
Asia Pacific (BP),,1991,1664.5177001953125,10176.3193359375,8135.384765625
Asia Pacific (BP),,1992,1777.847412109375,10529.5615234375,8695.5185546875
Asia Pacific (BP),,1993,1862.8564453125,11083.92578125,9066.4375
Asia Pacific (BP),,1994,2028.1571044921875,11636.564453125,9584.1708984375
Asia Pacific (BP),,1995,2124.305908203125,11911.36328125,10300.3720703125
Asia Pacific (BP),,1996,2319.488037109375,12432.9248046875,10829.74609375
Asia Pacific (BP),,1997,2506.738525390625,12489.7216796875,11356.099609375
Asia Pacific (BP),,1998,2563.852294921875,12477.373046875,11107.4951171875
Asia Pacific (BP),,1999,2768.802490234375,12858.0693359375,11584.896484375
Asia Pacific (BP),,2000,2983.047119140625,13345.48828125,11929.326171875
Asia Pacific (BP),,2001,3165.524658203125,13958.421875,12020.5361328125
Asia Pacific (BP),,2002,3308.55859375,15026.400390625,12328.798828125
Asia Pacific (BP),,2003,3587.985595703125,17176.083984375,12837.09375
Asia Pacific (BP),,2004,3801.4814453125,19317.865234375,13605.3564453125
Asia Pacific (BP),,2005,4080.296875,21956.63671875,13662.4755859375
Asia Pacific (BP),,2006,4393.01025390625,23642.4296875,13957.3876953125
Asia Pacific (BP),,2007,4731.43603515625,25615.26171875,14412.3984375
Asia Pacific (BP),,2008,5034.73583984375,26329.40234375,14399.2216796875
Asia Pacific (BP),,2009,5154.126953125,27199.890625,14505.1201171875
Asia Pacific (BP),,2010,5752.49365234375,28423.212890625,15475.634765625
Asia Pacific (BP),,2011,6201.275390625,30513.2890625,15864.7138671875
Asia Pacific (BP),,2012,6619.57763671875,31167.185546875,16573.478515625
Asia Pacific (BP),,2013,6857.080078125,31849.017578125,16810.310546875
Asia Pacific (BP),,2014,7055.49072265625,32422.66796875,17061.0859375
Asia Pacific (BP),,2015,7157.23486328125,32236.416015625,17826.615234375
Asia Pacific (BP),,2016,7327.40673828125,32204.390625,18501.607421875
Asia Pacific (BP),,2017,7719.8017578125,32742.609375,19063.306640625
Asia Pacific (BP),,2018,8304.9677734375,33497.26953125,19523.7265625
Asia Pacific (BP),,2019,8603.8837890625,33918.83203125,19858.015625
Asia Pacific (BP),,2020,8669.103515625,33527.171875,18776.1171875
Asia Pacific (BP),,2021,9182.994140625,35451.5390625,19624.0703125
Australia,AUS,1965,0.029474999755620956,202.02777099609375,200.0193634033203
Australia,AUS,1966,0.03929999843239784,209.38888549804688,214.04754638671875
Australia,AUS,1967,0.03929999843239784,215.25,234.3877716064453
Australia,AUS,1968,0.30457499623298645,221.69444274902344,255.2849884033203
Australia,AUS,1969,4.126500129699707,229.27777099609375,262.4481201171875
Australia,AUS,1970,17.303974151611328,231.69444274902344,290.1954345703125
Australia,AUS,1971,25.826679229736328,232.56944274902344,305.5445556640625
