"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","N2000-järjestelmässä [mm]"
"Pietarsaari Leppäluoto","2001","1","1","00:00","119"
"Pietarsaari Leppäluoto","2001","1","1","01:00","122"
"Pietarsaari Leppäluoto","2001","1","1","02:00","126"
"Pietarsaari Leppäluoto","2001","1","1","03:00","125"
"Pietarsaari Leppäluoto","2001","1","1","04:00","106"
"Pietarsaari Leppäluoto","2001","1","1","05:00","98"
"Pietarsaari Leppäluoto","2001","1","1","06:00","70"
"Pietarsaari Leppäluoto","2001","1","1","07:00","74"
"Pietarsaari Leppäluoto","2001","1","1","08:00","56"
"Pietarsaari Leppäluoto","2001","1","1","09:00","61"
"Pietarsaari Leppäluoto","2001","1","1","10:00","51"
"Pietarsaari Leppäluoto","2001","1","1","11:00","60"
"Pietarsaari Leppäluoto","2001","1","1","12:00","59"
"Pietarsaari Leppäluoto","2001","1","1","13:00","67"
"Pietarsaari Leppäluoto","2001","1","1","14:00","71"
"Pietarsaari Leppäluoto","2001","1","1","15:00","78"
"Pietarsaari Leppäluoto","2001","1","1","16:00","86"
"Pietarsaari Leppäluoto","2001","1","1","17:00","107"
"Pietarsaari Leppäluoto","2001","1","1","18:00","118"
"Pietarsaari Leppäluoto","2001","1","1","19:00","134"
"Pietarsaari Leppäluoto","2001","1","1","20:00","140"
"Pietarsaari Leppäluoto","2001","1","1","21:00","145"
"Pietarsaari Leppäluoto","2001","1","1","22:00","163"
"Pietarsaari Leppäluoto","2001","1","1","23:00","173"
"Pietarsaari Leppäluoto","2001","1","2","00:00","177"
"Pietarsaari Leppäluoto","2001","1","2","01:00","190"
"Pietarsaari Leppäluoto","2001","1","2","02:00","189"
"Pietarsaari Leppäluoto","2001","1","2","03:00","204"
"Pietarsaari Leppäluoto","2001","1","2","04:00","198"
"Pietarsaari Leppäluoto","2001","1","2","05:00","207"
"Pietarsaari Leppäluoto","2001","1","2","06:00","212"
"Pietarsaari Leppäluoto","2001","1","2","07:00","190"
"Pietarsaari Leppäluoto","2001","1","2","08:00","204"
"Pietarsaari Leppäluoto","2001","1","2","09:00","210"
"Pietarsaari Leppäluoto","2001","1","2","10:00","228"
"Pietarsaari Leppäluoto","2001","1","2","11:00","238"
"Pietarsaari Leppäluoto","2001","1","2","12:00","257"
"Pietarsaari Leppäluoto","2001","1","2","13:00","274"
"Pietarsaari Leppäluoto","2001","1","2","14:00","297"
"Pietarsaari Leppäluoto","2001","1","2","15:00","318"
"Pietarsaari Leppäluoto","2001","1","2","16:00","339"
"Pietarsaari Leppäluoto","2001","1","2","17:00","358"
"Pietarsaari Leppäluoto","2001","1","2","18:00","379"
"Pietarsaari Leppäluoto","2001","1","2","19:00","398"
"Pietarsaari Leppäluoto","2001","1","2","20:00","415"
"Pietarsaari Leppäluoto","2001","1","2","21:00","424"
"Pietarsaari Leppäluoto","2001","1","2","22:00","430"
"Pietarsaari Leppäluoto","2001","1","2","23:00","436"
"Pietarsaari Leppäluoto","2001","1","3","00:00","428"
"Pietarsaari Leppäluoto","2001","1","3","01:00","423"
"Pietarsaari Leppäluoto","2001","1","3","02:00","406"
"Pietarsaari Leppäluoto","2001","1","3","03:00","401"
"Pietarsaari Leppäluoto","2001","1","3","04:00","397"
"Pietarsaari Leppäluoto","2001","1","3","05:00","388"
"Pietarsaari Leppäluoto","2001","1","3","06:00","379"
"Pietarsaari Leppäluoto","2001","1","3","07:00","363"
"Pietarsaari Leppäluoto","2001","1","3","08:00","340"
"Pietarsaari Leppäluoto","2001","1","3","09:00","324"
"Pietarsaari Leppäluoto","2001","1","3","10:00","309"
"Pietarsaari Leppäluoto","2001","1","3","11:00","298"
"Pietarsaari Leppäluoto","2001","1","3","12:00","295"
"Pietarsaari Leppäluoto","2001","1","3","13:00","293"
"Pietarsaari Leppäluoto","2001","1","3","14:00","274"
"Pietarsaari Leppäluoto","2001","1","3","15:00","276"
"Pietarsaari Leppäluoto","2001","1","3","16:00","271"
"Pietarsaari Leppäluoto","2001","1","3","17:00","274"
"Pietarsaari Leppäluoto","2001","1","3","18:00","267"
"Pietarsaari Leppäluoto","2001","1","3","19:00","267"
"Pietarsaari Leppäluoto","2001","1","3","20:00","267"
"Pietarsaari Leppäluoto","2001","1","3","21:00","268"
"Pietarsaari Leppäluoto","2001","1","3","22:00","272"
"Pietarsaari Leppäluoto","2001","1","3","23:00","277"
"Pietarsaari Leppäluoto","2001","1","4","00:00","283"
"Pietarsaari Leppäluoto","2001","1","4","01:00","287"
"Pietarsaari Leppäluoto","2001","1","4","02:00","287"
"Pietarsaari Leppäluoto","2001","1","4","03:00","288"
"Pietarsaari Leppäluoto","2001","1","4","04:00","292"
"Pietarsaari Leppäluoto","2001","1","4","05:00","295"
"Pietarsaari Leppäluoto","2001","1","4","06:00","304"
"Pietarsaari Leppäluoto","2001","1","4","07:00","317"
"Pietarsaari Leppäluoto","2001","1","4","08:00","328"
"Pietarsaari Leppäluoto","2001","1","4","09:00","340"
"Pietarsaari Leppäluoto","2001","1","4","10:00","349"
"Pietarsaari Leppäluoto","2001","1","4","11:00","354"
"Pietarsaari Leppäluoto","2001","1","4","12:00","360"
"Pietarsaari Leppäluoto","2001","1","4","13:00","365"
"Pietarsaari Leppäluoto","2001","1","4","14:00","371"
"Pietarsaari Leppäluoto","2001","1","4","15:00","376"
"Pietarsaari Leppäluoto","2001","1","4","16:00","372"
"Pietarsaari Leppäluoto","2001","1","4","17:00","374"
"Pietarsaari Leppäluoto","2001","1","4","18:00","343"
"Pietarsaari Leppäluoto","2001","1","4","19:00","332"
"Pietarsaari Leppäluoto","2001","1","4","20:00","315"
"Pietarsaari Leppäluoto","2001","1","4","21:00","300"
"Pietarsaari Leppäluoto","2001","1","4","22:00","278"
"Pietarsaari Leppäluoto","2001","1","4","23:00","273"
"Pietarsaari Leppäluoto","2001","1","5","00:00","246"
"Pietarsaari Leppäluoto","2001","1","5","01:00","234"
"Pietarsaari Leppäluoto","2001","1","5","02:00","206"
"Pietarsaari Leppäluoto","2001","1","5","03:00","200"
"Pietarsaari Leppäluoto","2001","1","5","04:00","186"
"Pietarsaari Leppäluoto","2001","1","5","05:00","187"
"Pietarsaari Leppäluoto","2001","1","5","06:00","188"
"Pietarsaari Leppäluoto","2001","1","5","07:00","190"
"Pietarsaari Leppäluoto","2001","1","5","08:00","190"
"Pietarsaari Leppäluoto","2001","1","5","09:00","193"
"Pietarsaari Leppäluoto","2001","1","5","10:00","196"
"Pietarsaari Leppäluoto","2001","1","5","11:00","202"
"Pietarsaari Leppäluoto","2001","1","5","12:00","206"
"Pietarsaari Leppäluoto","2001","1","5","13:00","210"
"Pietarsaari Leppäluoto","2001","1","5","14:00","213"
"Pietarsaari Leppäluoto","2001","1","5","15:00","218"
"Pietarsaari Leppäluoto","2001","1","5","16:00","222"
"Pietarsaari Leppäluoto","2001","1","5","17:00","226"
"Pietarsaari Leppäluoto","2001","1","5","18:00","232"
"Pietarsaari Leppäluoto","2001","1","5","19:00","234"
"Pietarsaari Leppäluoto","2001","1","5","20:00","239"
"Pietarsaari Leppäluoto","2001","1","5","21:00","238"
"Pietarsaari Leppäluoto","2001","1","5","22:00","240"
"Pietarsaari Leppäluoto","2001","1","5","23:00","238"
"Pietarsaari Leppäluoto","2001","1","6","00:00","227"
"Pietarsaari Leppäluoto","2001","1","6","01:00","222"
"Pietarsaari Leppäluoto","2001","1","6","02:00","225"
"Pietarsaari Leppäluoto","2001","1","6","03:00","224"
"Pietarsaari Leppäluoto","2001","1","6","04:00","216"
"Pietarsaari Leppäluoto","2001","1","6","05:00","216"
"Pietarsaari Leppäluoto","2001","1","6","06:00","202"
"Pietarsaari Leppäluoto","2001","1","6","07:00","211"
"Pietarsaari Leppäluoto","2001","1","6","08:00","200"
"Pietarsaari Leppäluoto","2001","1","6","09:00","207"
"Pietarsaari Leppäluoto","2001","1","6","10:00","209"
"Pietarsaari Leppäluoto","2001","1","6","11:00","211"
"Pietarsaari Leppäluoto","2001","1","6","12:00","215"
"Pietarsaari Leppäluoto","2001","1","6","13:00","217"
"Pietarsaari Leppäluoto","2001","1","6","14:00","211"
"Pietarsaari Leppäluoto","2001","1","6","15:00","205"
"Pietarsaari Leppäluoto","2001","1","6","16:00","204"
"Pietarsaari Leppäluoto","2001","1","6","17:00","201"
"Pietarsaari Leppäluoto","2001","1","6","18:00","206"
"Pietarsaari Leppäluoto","2001","1","6","19:00","200"
"Pietarsaari Leppäluoto","2001","1","6","20:00","205"
"Pietarsaari Leppäluoto","2001","1","6","21:00","200"
"Pietarsaari Leppäluoto","2001","1","6","22:00","206"
"Pietarsaari Leppäluoto","2001","1","6","23:00","206"
"Pietarsaari Leppäluoto","2001","1","7","00:00","188"
"Pietarsaari Leppäluoto","2001","1","7","01:00","172"
"Pietarsaari Leppäluoto","2001","1","7","02:00","168"
"Pietarsaari Leppäluoto","2001","1","7","03:00","143"
"Pietarsaari Leppäluoto","2001","1","7","04:00","143"
"Pietarsaari Leppäluoto","2001","1","7","05:00","129"
"Pietarsaari Leppäluoto","2001","1","7","06:00","125"
"Pietarsaari Leppäluoto","2001","1","7","07:00","130"
"Pietarsaari Leppäluoto","2001","1","7","08:00","138"
"Pietarsaari Leppäluoto","2001","1","7","09:00","151"
"Pietarsaari Leppäluoto","2001","1","7","10:00","163"
"Pietarsaari Leppäluoto","2001","1","7","11:00","171"
"Pietarsaari Leppäluoto","2001","1","7","12:00","181"
"Pietarsaari Leppäluoto","2001","1","7","13:00","188"
"Pietarsaari Leppäluoto","2001","1","7","14:00","196"
"Pietarsaari Leppäluoto","2001","1","7","15:00","200"
"Pietarsaari Leppäluoto","2001","1","7","16:00","206"
"Pietarsaari Leppäluoto","2001","1","7","17:00","211"
"Pietarsaari Leppäluoto","2001","1","7","18:00","214"
"Pietarsaari Leppäluoto","2001","1","7","19:00","215"
"Pietarsaari Leppäluoto","2001","1","7","20:00","211"
"Pietarsaari Leppäluoto","2001","1","7","21:00","210"
"Pietarsaari Leppäluoto","2001","1","7","22:00","205"
"Pietarsaari Leppäluoto","2001","1","7","23:00","208"
"Pietarsaari Leppäluoto","2001","1","8","00:00","210"
"Pietarsaari Leppäluoto","2001","1","8","01:00","211"
"Pietarsaari Leppäluoto","2001","1","8","02:00","212"
"Pietarsaari Leppäluoto","2001","1","8","03:00","213"
"Pietarsaari Leppäluoto","2001","1","8","04:00","215"
"Pietarsaari Leppäluoto","2001","1","8","05:00","218"
"Pietarsaari Leppäluoto","2001","1","8","06:00","223"
"Pietarsaari Leppäluoto","2001","1","8","07:00","230"
"Pietarsaari Leppäluoto","2001","1","8","08:00","238"
"Pietarsaari Leppäluoto","2001","1","8","09:00","246"
"Pietarsaari Leppäluoto","2001","1","8","10:00","255"
"Pietarsaari Leppäluoto","2001","1","8","11:00","262"
"Pietarsaari Leppäluoto","2001","1","8","12:00","271"
"Pietarsaari Leppäluoto","2001","1","8","13:00","281"
"Pietarsaari Leppäluoto","2001","1","8","14:00","290"
"Pietarsaari Leppäluoto","2001","1","8","15:00","298"
"Pietarsaari Leppäluoto","2001","1","8","16:00","303"
"Pietarsaari Leppäluoto","2001","1","8","17:00","310"
"Pietarsaari Leppäluoto","2001","1","8","18:00","312"
"Pietarsaari Leppäluoto","2001","1","8","19:00","317"
"Pietarsaari Leppäluoto","2001","1","8","20:00","319"
"Pietarsaari Leppäluoto","2001","1","8","21:00","317"
"Pietarsaari Leppäluoto","2001","1","8","22:00","319"
"Pietarsaari Leppäluoto","2001","1","8","23:00","321"
"Pietarsaari Leppäluoto","2001","1","9","00:00","321"
"Pietarsaari Leppäluoto","2001","1","9","01:00","318"
"Pietarsaari Leppäluoto","2001","1","9","02:00","312"
"Pietarsaari Leppäluoto","2001","1","9","03:00","308"
"Pietarsaari Leppäluoto","2001","1","9","04:00","303"
"Pietarsaari Leppäluoto","2001","1","9","05:00","297"
"Pietarsaari Leppäluoto","2001","1","9","06:00","295"
"Pietarsaari Leppäluoto","2001","1","9","07:00","291"
"Pietarsaari Leppäluoto","2001","1","9","08:00","290"
"Pietarsaari Leppäluoto","2001","1","9","09:00","289"
"Pietarsaari Leppäluoto","2001","1","9","10:00","293"
"Pietarsaari Leppäluoto","2001","1","9","11:00","294"
"Pietarsaari Leppäluoto","2001","1","9","12:00","292"
"Pietarsaari Leppäluoto","2001","1","9","13:00","288"
"Pietarsaari Leppäluoto","2001","1","9","14:00","282"
"Pietarsaari Leppäluoto","2001","1","9","15:00","282"
"Pietarsaari Leppäluoto","2001","1","9","16:00","266"
"Pietarsaari Leppäluoto","2001","1","9","17:00","260"
"Pietarsaari Leppäluoto","2001","1","9","18:00","243"
"Pietarsaari Leppäluoto","2001","1","9","19:00","222"
