Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Africa,,1965,1010.4603881835938,1065.9554443359375,29.810510635375977
Africa,,1966,984.3585815429688,1125.6029052734375,32.50480270385742
Africa,,1967,981.1675415039062,1093.556640625,31.32707405090332
Africa,,1968,994.8810424804688,1127.1995849609375,30.957361221313477
Africa,,1969,978.623291015625,1120.5709228515625,35.26673126220703
Africa,,1970,992.5967407226562,1193.493408203125,42.703060150146484
Africa,,1971,1026.8880615234375,1269.6685791015625,49.34605407714844
Africa,,1972,1003.5864868164062,1333.913818359375,64.44154357910156
Africa,,1973,1040.3668212890625,1398.6199951171875,100.62931060791016
Africa,,1974,1054.50390625,1406.6776123046875,110.29093170166016
Africa,,1975,1087.7935791015625,1438.2470703125,129.35049438476562
Africa,,1976,1128.8992919921875,1531.3597412109375,143.10028076171875
Africa,,1977,1122.458740234375,1586.939208984375,155.76634216308594
Africa,,1978,1060.8602294921875,1625.60986328125,216.1835174560547
Africa,,1979,1095.1317138671875,1664.4344482421875,321.34735107421875
Africa,,1980,1141.0008544921875,1715.496337890625,392.3580627441406
Africa,,1981,1297.5382080078125,1803.7852783203125,466.3047180175781
Africa,,1982,1391.1275634765625,1835.6436767578125,489.5174865722656
Africa,,1983,1375.6488037109375,1860.3468017578125,523.2130126953125
Africa,,1984,1430.4017333984375,1840.744384765625,487.306884765625
Africa,,1985,1434.794677734375,1835.6614990234375,508.2563781738281
Africa,,1986,1427.1080322265625,1751.80810546875,555.1232299804688
Africa,,1987,1427.0933837890625,1795.3565673828125,557.1516723632812
Africa,,1988,1491.4337158203125,1820.0050048828125,600.5615234375
Africa,,1989,1362.0283203125,1831.9549560546875,605.4827880859375
Africa,,1990,1392.3671875,1812.3319091796875,632.41943359375
Africa,,1991,1318.8692626953125,1774.489501953125,620.43603515625
Africa,,1992,1292.4237060546875,1761.4798583984375,633.9542846679688
Africa,,1993,1278.4178466796875,1730.6492919921875,605.1657104492188
Africa,,1994,1278.7957763671875,1746.9334716796875,617.38623046875
Africa,,1995,1286.0863037109375,1766.1153564453125,643.0540771484375
Africa,,1996,1271.7945556640625,1759.6405029296875,658.4407958984375
Africa,,1997,1272.3514404296875,1767.5555419921875,629.4969482421875
Africa,,1998,1213.0941162109375,1765.203369140625,646.4435424804688
Africa,,1999,1220.4744873046875,1787.1796875,636.7870483398438
Africa,,2000,1188.3468017578125,1751.4354248046875,686.6007080078125
Africa,,2001,1174.5374755859375,1724.2264404296875,763.791259765625
Africa,,2002,1097.6427001953125,1737.541748046875,787.744140625
Africa,,2003,1166.0078125,1748.1431884765625,815.7156982421875
Africa,,2004,1252.0791015625,1774.932861328125,876.0692749023438
Africa,,2005,1134.167724609375,1806.3760986328125,881.7091064453125
Africa,,2006,1122.322998046875,1782.04736328125,898.033447265625
Africa,,2007,1112.781982421875,1801.3515625,934.6305541992188
