datetimeISO,year,month,day,hour,minute,second,value
2020-04-26T04:29:59.869824Z,2020,4,26,4,30,0,422.039
2020-04-26T05:30:00.080062Z,2020,4,26,5,30,0,421.698
2020-04-26T06:29:59.974080Z,2020,4,26,6,30,0,421.364
2020-04-26T07:29:59.868097Z,2020,4,26,7,30,0,421.058
2020-04-26T08:30:00.078335Z,2020,4,26,8,30,0,420.768
2020-04-26T09:29:59.972352Z,2020,4,26,9,30,0,420.546
2020-04-26T10:29:59.866369Z,2020,4,26,10,30,0,420.458
2020-04-26T11:30:00.076607Z,2020,4,26,11,30,0,420.232
2020-04-26T12:29:59.970624Z,2020,4,26,12,30,0,420.125
2020-04-26T13:29:59.864642Z,2020,4,26,13,30,0,420.17
2020-04-26T14:30:00.074880Z,2020,4,26,14,30,0,420.291
2020-04-26T15:29:59.968897Z,2020,4,26,15,30,0,420.517
2020-04-26T16:29:59.862914Z,2020,4,26,16,30,0,420.501
2020-04-26T17:30:00.073152Z,2020,4,26,17,30,0,420.515
2020-04-26T18:29:59.967169Z,2020,4,26,18,30,0,420.424
2020-04-26T19:29:59.861187Z,2020,4,26,19,30,0,420.731
2020-04-26T20:30:00.071425Z,2020,4,26,20,30,0,420.699
2020-04-26T21:29:59.965442Z,2020,4,26,21,30,0,420.827
2020-04-26T22:29:59.859459Z,2020,4,26,22,30,0,421.248
2020-04-26T23:30:00.069697Z,2020,4,26,23,30,0,421.817
2020-04-27T00:29:59.963714Z,2020,4,27,0,30,0,422.233
2020-04-27T01:29:59.857732Z,2020,4,27,1,30,0,422.587
2020-04-27T02:30:00.067969Z,2020,4,27,2,30,0,422.596
2020-04-27T03:29:59.961987Z,2020,4,27,3,30,0,422.783
2020-04-27T04:29:59.855997Z,2020,4,27,4,30,0,422.875
2020-04-27T05:30:00.066242Z,2020,4,27,5,30,0,422.006
2020-04-27T06:29:59.960259Z,2020,4,27,6,30,0,421.838
2020-04-27T07:29:59.854269Z,2020,4,27,7,30,0,421.338
2020-04-27T08:30:00.064514Z,2020,4,27,8,30,0,420.716
2020-04-27T09:29:59.958524Z,2020,4,27,9,30,0,420.311
2020-04-27T10:29:59.852542Z,2020,4,27,10,30,0,420.093
2020-04-27T11:30:00.062787Z,2020,4,27,11,30,0,420.038
2020-04-27T12:29:59.956797Z,2020,4,27,12,30,0,419.841
2020-04-27T13:29:59.850814Z,2020,4,27,13,30,0,419.817
2020-04-27T14:30:00.061059Z,2020,4,27,14,30,0,419.811
2020-04-27T15:29:59.955069Z,2020,4,27,15,30,0,419.806
2020-04-27T16:29:59.849087Z,2020,4,27,16,30,0,419.919
2020-04-27T17:30:00.059325Z,2020,4,27,17,30,0,420.316
2020-04-27T18:29:59.953342Z,2020,4,27,18,30,0,420.506
2020-04-27T19:29:59.847359Z,2020,4,27,19,30,0,420.566
2020-04-27T20:30:00.057597Z,2020,4,27,20,30,0,421.136
2020-04-27T21:29:59.951614Z,2020,4,27,21,30,0,421.287
2020-04-27T22:29:59.845631Z,2020,4,27,22,30,0,421.465
2020-04-27T23:30:00.055869Z,2020,4,27,23,30,0,421.609
2020-04-28T00:29:59.949887Z,2020,4,28,0,30,0,422.47
2020-04-28T01:29:59.843904Z,2020,4,28,1,30,0,422.158
2020-04-28T02:30:00.054142Z,2020,4,28,2,30,0,423.253
2020-04-28T03:29:59.948159Z,2020,4,28,3,30,0,423.632
2020-04-28T04:29:59.842176Z,2020,4,28,4,30,0,427.791
2020-04-28T05:30:00.052414Z,2020,4,28,5,30,0,426.617
2020-04-28T06:29:59.946432Z,2020,4,28,6,30,0,424.296
2020-04-28T07:30:00.156670Z,2020,4,28,7,30,0,422.027
2020-04-28T08:30:00.050687Z,2020,4,28,8,30,0,420.687
2020-04-28T09:29:59.944704Z,2020,4,28,9,30,0,420.507
2020-04-28T10:30:00.154942Z,2020,4,28,10,30,0,420.766
2020-04-28T11:30:00.048959Z,2020,4,28,11,30,0,420.34
2020-04-28T12:29:59.942976Z,2020,4,28,12,30,0,419.973
2020-04-28T13:30:00.153214Z,2020,4,28,13,30,0,419.897
2020-04-28T14:30:00.047232Z,2020,4,28,14,30,0,419.903
2020-04-28T15:29:59.941249Z,2020,4,28,15,30,0,420.208
2020-04-28T16:30:00.151487Z,2020,4,28,16,30,0,420.614
2020-04-28T17:30:00.045504Z,2020,4,28,17,30,0,420.921
2020-04-28T18:29:59.939521Z,2020,4,28,18,30,0,421.017
2020-04-28T19:30:00.149759Z,2020,4,28,19,30,0,421.331
2020-04-28T20:30:00.043777Z,2020,4,28,20,30,0,421.9
2020-04-28T21:29:59.937794Z,2020,4,28,21,30,0,421.94
2020-04-28T22:30:00.148032Z,2020,4,28,22,30,0,422.227
2020-04-28T23:30:00.042049Z,2020,4,28,23,30,0,422.254
2020-04-29T00:29:59.936066Z,2020,4,29,0,30,0,422.46
2020-04-29T01:30:00.146304Z,2020,4,29,1,30,0,422.407
2020-04-29T02:30:00.040321Z,2020,4,29,2,30,0,422.504
2020-04-29T03:29:59.934339Z,2020,4,29,3,30,0,422.412
2020-04-29T04:30:00.144577Z,2020,4,29,4,30,0,422.627
2020-04-29T05:30:00.038594Z,2020,4,29,5,30,0,421.638
2020-04-29T06:29:59.932611Z,2020,4,29,6,30,0,421.152
2020-04-29T07:30:00.142849Z,2020,4,29,7,30,0,420.941
2020-04-29T08:30:00.036866Z,2020,4,29,8,30,0,420.953
2020-04-29T09:29:59.930876Z,2020,4,29,9,30,0,421.13
2020-04-29T10:30:00.141122Z,2020,4,29,10,30,0,421.402
2020-04-29T11:30:00.035139Z,2020,4,29,11,30,0,421.249
2020-04-29T12:29:59.929149Z,2020,4,29,12,30,0,421.463
2020-04-29T13:30:00.139394Z,2020,4,29,13,30,0,421.264
