Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2017,1,1,00:00,UTC,-2,0.1,-2.1,247.8,,,,0,0
2017,1,1,01:00,UTC,-2.3,-0.2,-2.3,243.2,,,,0,0
2017,1,1,02:00,UTC,-1.9,0,-2,238.8,,,,0,0
2017,1,1,03:00,UTC,-1.2,0.8,-1.2,263.6,,,,0,0
2017,1,1,04:00,UTC,-2.1,-0.4,-1.9,259.3,,,,0,0
2017,1,1,05:00,UTC,-1.4,0.7,-1.4,243.2,,,,0,0
2017,1,1,06:00,UTC,-1.6,0.2,-1.6,260.6,,,,0,0
2017,1,1,07:00,UTC,-1.7,0.1,-1.8,260.1,,,,0,0.1
2017,1,1,08:00,UTC,8.1,0.3,8.3,273.7,,,,0,0.1
2017,1,1,09:00,UTC,22.9,1.1,23.4,284.6,,,,0,0.1
2017,1,1,10:00,UTC,21.2,0.4,21.7,295.9,,,,0,0.1
2017,1,1,11:00,UTC,34,0.2,34.6,282.9,,,,0,0.1
2017,1,1,12:00,UTC,15.1,-0.1,15.4,237.9,,,,0,0.1
2017,1,1,13:00,UTC,5.9,-0.4,6,227.3,,,,0,0.1
2017,1,1,14:00,UTC,-1.7,0.4,-1.7,257.1,,,,0,0
2017,1,1,15:00,UTC,-1.3,0.5,-1,291.2,,,,0,0
2017,1,1,16:00,UTC,-1.8,0.1,-1.6,254.2,,,,0,0
2017,1,1,17:00,UTC,-1.5,0.1,-1.3,293.1,,,,0,0
2017,1,1,18:00,UTC,-1.1,0.3,-0.8,303.3,,,,0,0
2017,1,1,19:00,UTC,-1.1,-0.5,-0.8,298.8,,,,0,0
2017,1,1,20:00,UTC,-1.2,-0.6,-1.1,268.4,,,,0,0.1
2017,1,1,21:00,UTC,-2.2,-0.2,-2.3,210.2,,,,0,0
2017,1,1,22:00,UTC,-2.5,-0.6,-2.6,206.8,,,,0,0
2017,1,1,23:00,UTC,-1.9,0,-1.8,206.9,,,,0,0.1
2017,1,2,00:00,UTC,-2.1,-0.5,-2.2,208.9,,,,0,0.1
2017,1,2,01:00,UTC,-1,0.6,-0.8,275.7,,,,0,0
2017,1,2,02:00,UTC,-0.9,0.5,-0.9,281.8,,,,0,0.1
2017,1,2,03:00,UTC,-1,0.1,-0.7,289.4,,,,0,0
2017,1,2,04:00,UTC,-1,0.1,-0.7,289.9,,,,0,0.1
2017,1,2,05:00,UTC,-0.9,0.1,-0.7,289.8,,,,0,0.1
2017,1,2,06:00,UTC,-0.3,0.6,-0.1,283.8,,,,0,0.1
2017,1,2,07:00,UTC,-0.2,0.7,0,286.5,,,,0,0.1
2017,1,2,08:00,UTC,11.4,1.6,11.9,284.9,,,,0,0.1
2017,1,2,09:00,UTC,26,1.6,27,277,,,,0,0.1
2017,1,2,10:00,UTC,30.8,1.2,31.8,288.1,,,,0,0.1
2017,1,2,11:00,UTC,17.4,0.9,18.1,290,,,,0,0.1
2017,1,2,12:00,UTC,12.7,1.3,13.3,288.2,,,,0,0.1
2017,1,2,13:00,UTC,3.1,0.3,3.4,290.6,,,,0,0.1
2017,1,2,14:00,UTC,-0.5,0.7,-0.1,291.6,,,,0,0.1
2017,1,2,15:00,UTC,-0.5,0.9,-0.2,295.7,,,,0,0.1
2017,1,2,16:00,UTC,-0.6,0.6,-0.6,286.7,,,,0,0.1
2017,1,2,17:00,UTC,-0.6,0.3,-0.5,285.8,,,,0,0
2017,1,2,18:00,UTC,-0.5,0.5,-0.3,287.4,,,,0,0.1
