"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","N2000-järjestelmässä [mm]"
"Pietarsaari Leppäluoto","2011","1","1","00:00","-15"
"Pietarsaari Leppäluoto","2011","1","1","01:00","1"
"Pietarsaari Leppäluoto","2011","1","1","02:00","15"
"Pietarsaari Leppäluoto","2011","1","1","03:00","26"
"Pietarsaari Leppäluoto","2011","1","1","04:00","22"
"Pietarsaari Leppäluoto","2011","1","1","05:00","18"
"Pietarsaari Leppäluoto","2011","1","1","06:00","16"
"Pietarsaari Leppäluoto","2011","1","1","07:00","36"
"Pietarsaari Leppäluoto","2011","1","1","08:00","48"
"Pietarsaari Leppäluoto","2011","1","1","09:00","60"
"Pietarsaari Leppäluoto","2011","1","1","10:00","67"
"Pietarsaari Leppäluoto","2011","1","1","11:00","73"
"Pietarsaari Leppäluoto","2011","1","1","12:00","73"
"Pietarsaari Leppäluoto","2011","1","1","13:00","78"
"Pietarsaari Leppäluoto","2011","1","1","14:00","77"
"Pietarsaari Leppäluoto","2011","1","1","15:00","80"
"Pietarsaari Leppäluoto","2011","1","1","16:00","73"
"Pietarsaari Leppäluoto","2011","1","1","17:00","64"
"Pietarsaari Leppäluoto","2011","1","1","18:00","65"
"Pietarsaari Leppäluoto","2011","1","1","19:00","62"
"Pietarsaari Leppäluoto","2011","1","1","20:00","60"
"Pietarsaari Leppäluoto","2011","1","1","21:00","45"
"Pietarsaari Leppäluoto","2011","1","1","22:00","36"
"Pietarsaari Leppäluoto","2011","1","1","23:00","11"
"Pietarsaari Leppäluoto","2011","1","2","00:00","-4"
"Pietarsaari Leppäluoto","2011","1","2","01:00","-32"
"Pietarsaari Leppäluoto","2011","1","2","02:00","-47"
"Pietarsaari Leppäluoto","2011","1","2","03:00","-52"
"Pietarsaari Leppäluoto","2011","1","2","04:00","-76"
"Pietarsaari Leppäluoto","2011","1","2","05:00","-85"
"Pietarsaari Leppäluoto","2011","1","2","06:00","-106"
"Pietarsaari Leppäluoto","2011","1","2","07:00","-98"
"Pietarsaari Leppäluoto","2011","1","2","08:00","-106"
"Pietarsaari Leppäluoto","2011","1","2","09:00","-91"
"Pietarsaari Leppäluoto","2011","1","2","10:00","-92"
"Pietarsaari Leppäluoto","2011","1","2","11:00","-78"
"Pietarsaari Leppäluoto","2011","1","2","12:00","-75"
"Pietarsaari Leppäluoto","2011","1","2","13:00","-71"
"Pietarsaari Leppäluoto","2011","1","2","14:00","-65"
"Pietarsaari Leppäluoto","2011","1","2","15:00","-64"
"Pietarsaari Leppäluoto","2011","1","2","16:00","-70"
"Pietarsaari Leppäluoto","2011","1","2","17:00","-62"
"Pietarsaari Leppäluoto","2011","1","2","18:00","-51"
"Pietarsaari Leppäluoto","2011","1","2","19:00","-35"
"Pietarsaari Leppäluoto","2011","1","2","20:00","-11"
"Pietarsaari Leppäluoto","2011","1","2","21:00","-19"
"Pietarsaari Leppäluoto","2011","1","2","22:00","-4"
"Pietarsaari Leppäluoto","2011","1","2","23:00","-4"
"Pietarsaari Leppäluoto","2011","1","3","00:00","13"
"Pietarsaari Leppäluoto","2011","1","3","01:00","3"
"Pietarsaari Leppäluoto","2011","1","3","02:00","28"
"Pietarsaari Leppäluoto","2011","1","3","03:00","13"
"Pietarsaari Leppäluoto","2011","1","3","04:00","17"
"Pietarsaari Leppäluoto","2011","1","3","05:00","10"
"Pietarsaari Leppäluoto","2011","1","3","06:00","17"
"Pietarsaari Leppäluoto","2011","1","3","07:00","14"
"Pietarsaari Leppäluoto","2011","1","3","08:00","17"
"Pietarsaari Leppäluoto","2011","1","3","09:00","22"
"Pietarsaari Leppäluoto","2011","1","3","10:00","18"
"Pietarsaari Leppäluoto","2011","1","3","11:00","33"
"Pietarsaari Leppäluoto","2011","1","3","12:00","29"
"Pietarsaari Leppäluoto","2011","1","3","13:00","37"
"Pietarsaari Leppäluoto","2011","1","3","14:00","30"
"Pietarsaari Leppäluoto","2011","1","3","15:00","30"
"Pietarsaari Leppäluoto","2011","1","3","16:00","39"
"Pietarsaari Leppäluoto","2011","1","3","17:00","35"
"Pietarsaari Leppäluoto","2011","1","3","18:00","49"
"Pietarsaari Leppäluoto","2011","1","3","19:00","44"
"Pietarsaari Leppäluoto","2011","1","3","20:00","57"
"Pietarsaari Leppäluoto","2011","1","3","21:00","62"
"Pietarsaari Leppäluoto","2011","1","3","22:00","59"
"Pietarsaari Leppäluoto","2011","1","3","23:00","70"
"Pietarsaari Leppäluoto","2011","1","4","00:00","61"
"Pietarsaari Leppäluoto","2011","1","4","01:00","63"
"Pietarsaari Leppäluoto","2011","1","4","02:00","56"
"Pietarsaari Leppäluoto","2011","1","4","03:00","55"
"Pietarsaari Leppäluoto","2011","1","4","04:00","52"
"Pietarsaari Leppäluoto","2011","1","4","05:00","51"
"Pietarsaari Leppäluoto","2011","1","4","06:00","45"
"Pietarsaari Leppäluoto","2011","1","4","07:00","45"
"Pietarsaari Leppäluoto","2011","1","4","08:00","40"
"Pietarsaari Leppäluoto","2011","1","4","09:00","45"
"Pietarsaari Leppäluoto","2011","1","4","10:00","46"
"Pietarsaari Leppäluoto","2011","1","4","11:00","53"
"Pietarsaari Leppäluoto","2011","1","4","12:00","66"
"Pietarsaari Leppäluoto","2011","1","4","13:00","64"
"Pietarsaari Leppäluoto","2011","1","4","14:00","79"
"Pietarsaari Leppäluoto","2011","1","4","15:00","76"
