Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2019,1,1,00:00,UTC,-1.2,0.9,-1.7,316.3,,,,0,0
2019,1,1,01:00,UTC,-0.8,1.3,-0.7,320.3,,,,0,0
2019,1,1,02:00,UTC,-0.7,1.2,-0.7,323.4,,,,0,0
2019,1,1,03:00,UTC,-1.1,0.7,-1,324.9,,,,0,0
2019,1,1,04:00,UTC,-1.6,0.6,-1.6,326.2,,,,0,0
2019,1,1,05:00,UTC,-1.2,0.5,-1.2,327.2,,,,0,0
2019,1,1,06:00,UTC,-1,0.8,-1,327.7,,,,0,0
2019,1,1,07:00,UTC,-1,0.3,-1,327.5,,,,0,0
2019,1,1,08:00,UTC,5,0.6,5.2,328.1,,,,0,0
2019,1,1,09:00,UTC,12.9,0.6,13.1,329.6,,,,0,0.1
2019,1,1,10:00,UTC,18.6,1.1,18.6,332.3,,,,0,0.1
2019,1,1,11:00,UTC,18.2,-0.1,18.3,331.2,,,,0,0.1
2019,1,1,12:00,UTC,12.9,0.7,13.4,330.8,,,,0,0.1
2019,1,1,13:00,UTC,3.3,-0.1,3.7,326.3,,,,0,0
2019,1,1,14:00,UTC,-0.8,0.8,-0.7,326,,,,0,0
2019,1,1,15:00,UTC,-0.6,1.2,-0.5,304.5,,,,0,0
2019,1,1,16:00,UTC,-1,0.8,-0.8,322.4,,,,0,0
2019,1,1,17:00,UTC,-2,0.4,-1.6,299.9,,,,0,0
2019,1,1,18:00,UTC,-1.1,1.9,-0.4,315.9,,,,0,0
2019,1,1,19:00,UTC,-0.6,1.7,-0.2,306.3,,,,0,0
2019,1,1,20:00,UTC,-1.1,0.4,-0.8,315.7,,,,0,0
2019,1,1,21:00,UTC,-1.5,-0.3,-1.2,290.8,,,,0,0
2019,1,1,22:00,UTC,-1.1,0.7,-1,312.6,,,,0,0
2019,1,1,23:00,UTC,-1.2,0.5,-1.3,312.9,,,,0,0
2019,1,2,00:00,UTC,-0.6,0.4,-0.6,318.4,,,,0,0
2019,1,2,01:00,UTC,-1.4,-0.4,-1.6,317.7,,,,0,0
2019,1,2,02:00,UTC,-1,0.8,-1.3,311.6,,,,0,0
2019,1,2,03:00,UTC,-0.5,0.6,-1,311.9,,,,0,0
2019,1,2,04:00,UTC,-0.9,-0.1,-1.4,297.6,,,,0,0
2019,1,2,05:00,UTC,-1.9,-0.5,-2.1,293.6,,,,0,0
2019,1,2,06:00,UTC,-0.7,0.2,-1,291.6,,,,0,0
2019,1,2,07:00,UTC,0.3,0.2,0.1,291.6,,,,0,0
2019,1,2,08:00,UTC,10.1,0.3,9.8,270.2,,,,0,0.1
2019,1,2,09:00,UTC,41.9,0.9,42,281.8,,,,0,0.1
2019,1,2,10:00,UTC,37.3,0.7,37.3,282.4,,,,0,0.1
2019,1,2,11:00,UTC,27.5,0.9,27.5,285.3,,,,0,0.1
2019,1,2,12:00,UTC,18.8,1.1,18.6,282.1,,,,0,0.1
2019,1,2,13:00,UTC,6.9,0.9,6.9,276.4,,,,0,0
2019,1,2,14:00,UTC,-0.6,0,-0.8,261.1,,,,0,0
2019,1,2,15:00,UTC,-1.4,-0.3,-1.7,237.1,,,,0,0
2019,1,2,16:00,UTC,-0.8,0.2,-1,246.4,,,,0,0
2019,1,2,17:00,UTC,-1.9,0,-2.2,224.3,,,,0,0
2019,1,2,18:00,UTC,-1.9,0.1,-2.3,189.5,,,,0,0
2019,1,2,19:00,UTC,-1.6,0.4,-1.9,183.8,,,,0,0
2019,1,2,20:00,UTC,-1.8,0.7,-2.1,186.4,,,,0,0
2019,1,2,21:00,UTC,-2.1,0.3,-2.3,186.6,,,,0,0
2019,1,2,22:00,UTC,-1.6,0.4,-2,186.7,,,,0,0
2019,1,2,23:00,UTC,-1.4,0.3,-1.8,186,,,,0,0
2019,1,3,00:00,UTC,-2.1,0,-2.2,185,,,,0,0
2019,1,3,01:00,UTC,-1.9,0.1,-2.2,184.5,,,,0,0
2019,1,3,02:00,UTC,-2.2,-0.3,-2.4,184.3,,,,0,0
2019,1,3,03:00,UTC,-1.8,0,-2.1,185.9,,,,0,0
2019,1,3,04:00,UTC,-1.6,0.6,-1.9,182.8,,,,0,0
2019,1,3,05:00,UTC,-1.8,0.2,-2,182.2,,,,0,0
2019,1,3,06:00,UTC,-1.4,0.8,-1.6,184.3,,,,0,0
2019,1,3,07:00,UTC,-0.4,0.2,-0.7,183.3,,,,0,0
2019,1,3,08:00,UTC,12.7,276.3,27.5,181,,,,60,0.1
2019,1,3,09:00,UTC,24.7,484.8,76.9,181.6,,,,60,0.1
2019,1,3,10:00,UTC,29.1,582.2,107.3,181.3,,,,60,0.1
2019,1,3,11:00,UTC,28.4,585,105.2,181.4,,,,60,0.1
2019,1,3,12:00,UTC,22.1,505.4,72.2,180.5,,,,60,0.1
2019,1,3,13:00,UTC,10.1,97.9,14,179.6,,,,10,0.1
2019,1,3,14:00,UTC,-1,-0.3,-1.2,179.4,,,,0,0
2019,1,3,15:00,UTC,-1.3,0.3,-1.6,178.4,,,,0,0
2019,1,3,16:00,UTC,-2.1,0.1,-2.2,177.9,,,,0,0
2019,1,3,17:00,UTC,-1.2,0.4,-1.4,179.8,,,,0,0
2019,1,3,18:00,UTC,-1.8,0.4,-1.8,182,,,,0,0
2019,1,3,19:00,UTC,-1.4,0.9,-1.4,184.3,,,,0,0
2019,1,3,20:00,UTC,-1.6,0.9,-1.5,201.8,,,,0,0
2019,1,3,21:00,UTC,-1.1,2.6,-0.7,231,,,,0,0
2019,1,3,22:00,UTC,-0.8,2.7,-0.3,265,,,,0,0
2019,1,3,23:00,UTC,-0.5,4,0.1,274.2,,,,0,0
2019,1,4,00:00,UTC,-0.6,2.7,0.1,278.7,,,,0,0
2019,1,4,01:00,UTC,-0.9,1.5,-0.4,282.4,,,,0,0
2019,1,4,02:00,UTC,-0.2,2.8,0.1,290.4,,,,0,0
2019,1,4,03:00,UTC,-0.3,1.5,-0.4,299.6,,,,0,0
2019,1,4,04:00,UTC,-0.9,0.5,-0.9,301.9,,,,0,0
2019,1,4,05:00,UTC,-0.8,0.6,-0.7,302.1,,,,0,0
2019,1,4,06:00,UTC,-0.3,1.2,-0.3,304,,,,0,0
2019,1,4,07:00,UTC,-0.3,0.8,-0.1,307.3,,,,0,0
2019,1,4,08:00,UTC,5.1,0.8,5,311.7,,,,0,0
2019,1,4,09:00,UTC,17.8,1,17.7,315.2,,,,0,0.1
