datetimeISO,year,month,day,hour,minute,second,value
2015-05-06T07:29:59.994242Z,2015,5,6,7,30,0,404.448
2015-05-06T08:30:00.143997Z,2015,5,6,8,30,0,403.154
2015-05-06T09:29:59.978403Z,2015,5,6,9,30,0,401.936
2015-05-06T10:30:00.128158Z,2015,5,6,10,30,0,400.664
2015-05-06T11:29:59.962563Z,2015,5,6,11,30,0,401.703
2015-05-06T12:30:00.112318Z,2015,5,6,12,30,0,402.513
2015-05-06T13:29:59.946723Z,2015,5,6,13,30,0,402.879
2015-05-06T14:30:00.096478Z,2015,5,6,14,30,0,403.064
2015-05-06T15:29:59.930877Z,2015,5,6,15,30,0,403.799
2015-05-06T16:30:00.080639Z,2015,5,6,16,30,0,406.015
2015-05-06T17:29:59.915037Z,2015,5,6,17,30,0,407.861
2015-05-06T18:30:00.064799Z,2015,5,6,18,30,0,407.621
2015-05-06T19:29:59.899197Z,2015,5,6,19,30,0,408.382
2015-05-06T20:30:00.048959Z,2015,5,6,20,30,0,409.633
2015-05-06T21:29:59.883358Z,2015,5,6,21,30,0,410.509
2015-05-06T22:30:00.033120Z,2015,5,6,22,30,0,410.636
2015-05-06T23:29:59.867518Z,2015,5,6,23,30,0,411.229
2015-05-07T00:30:00.017280Z,2015,5,7,0,30,0,410.84
2015-05-07T01:29:59.851678Z,2015,5,7,1,30,0,410.25
2015-05-07T02:30:00.001440Z,2015,5,7,2,30,0,409.405
2015-05-07T03:30:00.151203Z,2015,5,7,3,30,0,409.321
2015-05-07T04:29:59.985601Z,2015,5,7,4,30,0,409.778
2015-05-07T05:30:00.135363Z,2015,5,7,5,30,0,408.677
2015-05-07T06:29:59.969761Z,2015,5,7,6,30,0,407.639
2015-05-07T07:30:00.119523Z,2015,5,7,7,30,0,405.895
2015-05-07T08:29:59.953922Z,2015,5,7,8,30,0,404.35
2015-05-07T09:30:00.103676Z,2015,5,7,9,30,0,402.809
2015-05-07T10:29:59.938082Z,2015,5,7,10,30,0,401.93
2015-05-07T11:30:00.087837Z,2015,5,7,11,30,0,402.271
2015-05-07T12:29:59.922242Z,2015,5,7,12,30,0,402.146
2015-05-07T13:30:00.071997Z,2015,5,7,13,30,0,401.609
2015-05-07T14:29:59.906403Z,2015,5,7,14,30,0,401.229
2015-05-07T15:30:00.056158Z,2015,5,7,15,30,0,400.906
2015-05-07T16:29:59.890563Z,2015,5,7,16,30,0,401.41
2015-05-07T17:30:00.040318Z,2015,5,7,17,30,0,403.082
2015-05-07T18:29:59.874723Z,2015,5,7,18,30,0,403.684
2015-05-07T19:30:00.024478Z,2015,5,7,19,30,0,404.93
2015-05-07T20:29:59.858877Z,2015,5,7,20,30,0,407.018
2015-05-07T21:30:00.008639Z,2015,5,7,21,30,0,408.62
2015-05-07T22:29:59.843037Z,2015,5,7,22,30,0,409.612
2015-05-07T23:29:59.992799Z,2015,5,7,23,30,0,410.199
2015-05-08T00:30:00.142561Z,2015,5,8,0,30,0,409.849
2015-05-08T01:29:59.976959Z,2015,5,8,1,30,0,409.743
2015-05-08T02:30:00.126721Z,2015,5,8,2,30,0,410.0
2015-05-08T03:29:59.961120Z,2015,5,8,3,30,0,409.366
2015-05-08T04:30:00.110882Z,2015,5,8,4,30,0,408.217
2015-05-08T05:29:59.945280Z,2015,5,8,5,30,0,407.832
2015-05-08T06:30:00.095042Z,2015,5,8,6,30,0,407.408
2015-05-08T07:29:59.929440Z,2015,5,8,7,30,0,406.325
2015-05-08T08:30:00.079203Z,2015,5,8,8,30,0,405.123
2015-05-08T09:29:59.913601Z,2015,5,8,9,30,0,404.527
2015-05-08T10:30:00.063363Z,2015,5,8,10,30,0,404.153
2015-05-08T11:29:59.897761Z,2015,5,8,11,30,0,403.865
2015-05-08T12:30:00.047523Z,2015,5,8,12,30,0,404.541
2015-05-08T13:29:59.881921Z,2015,5,8,13,30,0,403.947
2015-05-08T14:30:00.031676Z,2015,5,8,14,30,0,403.361
2015-05-08T15:29:59.866082Z,2015,5,8,15,30,0,403.08
2015-05-08T16:30:00.015837Z,2015,5,8,16,30,0,403.77
2015-05-08T17:29:59.850242Z,2015,5,8,17,30,0,404.612
2015-05-08T18:29:59.999997Z,2015,5,8,18,30,0,405.869
2015-05-08T19:30:00.149759Z,2015,5,8,19,30,0,406.509
2015-05-08T20:29:59.984157Z,2015,5,8,20,30,0,407.29
2015-05-08T21:30:00.133920Z,2015,5,8,21,30,0,407.935
2015-05-08T22:29:59.968318Z,2015,5,8,22,30,0,408.503
2015-05-08T23:30:00.118080Z,2015,5,8,23,30,0,408.598
2015-05-09T00:29:59.952478Z,2015,5,9,0,30,0,408.5
2015-05-09T01:30:00.102240Z,2015,5,9,1,30,0,408.268
2015-05-09T02:29:59.936639Z,2015,5,9,2,30,0,408.396
2015-05-09T03:30:00.086401Z,2015,5,9,3,30,0,407.746
2015-05-09T04:29:59.920799Z,2015,5,9,4,30,0,406.884
2015-05-09T05:30:00.070561Z,2015,5,9,5,30,0,406.303
2015-05-09T06:29:59.904959Z,2015,5,9,6,30,0,406.007
2015-05-09T07:30:00.054721Z,2015,5,9,7,30,0,405.818
2015-05-09T08:29:59.889120Z,2015,5,9,8,30,0,405.517
2015-05-09T09:30:00.038882Z,2015,5,9,9,30,0,405.292
2015-05-09T10:29:59.873280Z,2015,5,9,10,30,0,406.322
2015-05-09T11:30:00.023042Z,2015,5,9,11,30,0,405.707
2015-05-09T12:29:59.857440Z,2015,5,9,12,30,0,405.477
2015-05-09T13:30:00.007202Z,2015,5,9,13,30,0,405.07
2015-05-09T14:30:00.156957Z,2015,5,9,14,30,0,404.819
2015-05-09T15:29:59.991363Z,2015,5,9,15,30,0,404.537
2015-05-09T16:30:00.141118Z,2015,5,9,16,30,0,404.638
2015-05-09T17:29:59.975523Z,2015,5,9,17,30,0,404.454
2015-05-09T18:30:00.125278Z,2015,5,9,18,30,0,404.454
2015-05-09T19:29:59.959684Z,2015,5,9,19,30,0,404.972
2015-05-09T20:30:00.109438Z,2015,5,9,20,30,0,406.11
2015-05-09T21:29:59.943837Z,2015,5,9,21,30,0,406.128
2015-05-09T22:30:00.093599Z,2015,5,9,22,30,0,406.511
2015-05-09T23:29:59.927997Z,2015,5,9,23,30,0,406.889
2015-05-10T00:30:00.077759Z,2015,5,10,0,30,0,407.725
2015-05-10T01:29:59.912157Z,2015,5,10,1,30,0,408.689
2015-05-10T02:30:00.061920Z,2015,5,10,2,30,0,409.603
2015-05-10T03:29:59.896318Z,2015,5,10,3,30,0,410.662
2015-05-10T04:30:00.046080Z,2015,5,10,4,30,0,410.974
2015-05-10T05:29:59.880478Z,2015,5,10,5,30,0,407.841
2015-05-10T06:30:00.030240Z,2015,5,10,6,30,0,405.371
2015-05-10T07:29:59.864638Z,2015,5,10,7,30,0,404.898
2015-05-10T08:30:00.014401Z,2015,5,10,8,30,0,404.421
2015-05-10T09:29:59.848799Z,2015,5,10,9,30,0,404.13
2015-05-10T10:29:59.998561Z,2015,5,10,10,30,0,403.531
2015-05-10T11:30:00.148323Z,2015,5,10,11,30,0,403.177
2015-05-10T12:29:59.982721Z,2015,5,10,12,30,0,403.422
2015-05-10T13:30:00.132483Z,2015,5,10,13,30,0,403.607
2015-05-10T14:29:59.966882Z,2015,5,10,14,30,0,403.514
2015-05-10T15:30:00.116637Z,2015,5,10,15,30,0,403.31
2015-05-10T16:29:59.951042Z,2015,5,10,16,30,0,403.46
2015-05-10T17:30:00.100797Z,2015,5,10,17,30,0,403.983
2015-05-10T18:29:59.935202Z,2015,5,10,18,30,0,405.153
2015-05-10T19:30:00.084957Z,2015,5,10,19,30,0,405.733
