"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","N2000-järjestelmässä [mm]"
"Pietarsaari Leppäluoto","1981","1","1","00:00","891"
"Pietarsaari Leppäluoto","1981","1","1","01:00","879"
"Pietarsaari Leppäluoto","1981","1","1","02:00","873"
"Pietarsaari Leppäluoto","1981","1","1","03:00","852"
"Pietarsaari Leppäluoto","1981","1","1","04:00","849"
"Pietarsaari Leppäluoto","1981","1","1","05:00","834"
"Pietarsaari Leppäluoto","1981","1","1","06:00","817"
"Pietarsaari Leppäluoto","1981","1","1","07:00","822"
"Pietarsaari Leppäluoto","1981","1","1","08:00","818"
"Pietarsaari Leppäluoto","1981","1","1","09:00","834"
"Pietarsaari Leppäluoto","1981","1","1","10:00","840"
"Pietarsaari Leppäluoto","1981","1","1","11:00","837"
"Pietarsaari Leppäluoto","1981","1","1","12:00","858"
"Pietarsaari Leppäluoto","1981","1","1","13:00","850"
"Pietarsaari Leppäluoto","1981","1","1","14:00","847"
"Pietarsaari Leppäluoto","1981","1","1","15:00","836"
"Pietarsaari Leppäluoto","1981","1","1","16:00","807"
"Pietarsaari Leppäluoto","1981","1","1","17:00","779"
"Pietarsaari Leppäluoto","1981","1","1","18:00","757"
"Pietarsaari Leppäluoto","1981","1","1","19:00","731"
"Pietarsaari Leppäluoto","1981","1","1","20:00","699"
"Pietarsaari Leppäluoto","1981","1","1","21:00","668"
"Pietarsaari Leppäluoto","1981","1","1","22:00","633"
"Pietarsaari Leppäluoto","1981","1","1","23:00","595"
"Pietarsaari Leppäluoto","1981","1","2","00:00","557"
"Pietarsaari Leppäluoto","1981","1","2","01:00","525"
"Pietarsaari Leppäluoto","1981","1","2","02:00","522"
"Pietarsaari Leppäluoto","1981","1","2","03:00","495"
"Pietarsaari Leppäluoto","1981","1","2","04:00","497"
"Pietarsaari Leppäluoto","1981","1","2","05:00","482"
"Pietarsaari Leppäluoto","1981","1","2","06:00","508"
"Pietarsaari Leppäluoto","1981","1","2","07:00","504"
"Pietarsaari Leppäluoto","1981","1","2","08:00","537"
"Pietarsaari Leppäluoto","1981","1","2","09:00","548"
"Pietarsaari Leppäluoto","1981","1","2","10:00","573"
"Pietarsaari Leppäluoto","1981","1","2","11:00","585"
"Pietarsaari Leppäluoto","1981","1","2","12:00","607"
"Pietarsaari Leppäluoto","1981","1","2","13:00","633"
"Pietarsaari Leppäluoto","1981","1","2","14:00","656"
"Pietarsaari Leppäluoto","1981","1","2","15:00","669"
"Pietarsaari Leppäluoto","1981","1","2","16:00","674"
"Pietarsaari Leppäluoto","1981","1","2","17:00","689"
"Pietarsaari Leppäluoto","1981","1","2","18:00","699"
"Pietarsaari Leppäluoto","1981","1","2","19:00","711"
"Pietarsaari Leppäluoto","1981","1","2","20:00","725"
"Pietarsaari Leppäluoto","1981","1","2","21:00","733"
"Pietarsaari Leppäluoto","1981","1","2","22:00","746"
"Pietarsaari Leppäluoto","1981","1","2","23:00","751"
"Pietarsaari Leppäluoto","1981","1","3","00:00","754"
"Pietarsaari Leppäluoto","1981","1","3","01:00","762"
"Pietarsaari Leppäluoto","1981","1","3","02:00","769"
"Pietarsaari Leppäluoto","1981","1","3","03:00","775"
"Pietarsaari Leppäluoto","1981","1","3","04:00","782"
"Pietarsaari Leppäluoto","1981","1","3","05:00","786"
"Pietarsaari Leppäluoto","1981","1","3","06:00","795"
"Pietarsaari Leppäluoto","1981","1","3","07:00","789"
