Flag,NbPoints,Stdev,TIMESTAMP,co2
O,12,6.326000213623047,2016-12-16 00:00:00,472.6470031738281
O,12,4.560999870300293,2016-12-16 01:00:00,458.60101318359375
O,12,8.508000373840332,2016-12-16 02:00:00,444.87799072265625
O,12,4.138000011444092,2016-12-16 03:00:00,442.8450012207031
O,12,7.622000217437744,2016-12-16 04:00:00,440.6910095214844
O,12,5.454999923706055,2016-12-16 05:00:00,449.05499267578125
O,12,6.74399995803833,2016-12-16 06:00:00,438.4339904785156
O,8,4.677000045776367,2016-12-16 07:00:00,435.61700439453125
O,12,3.497999906539917,2016-12-16 08:00:00,428.6990051269531
O,12,1.465999960899353,2016-12-16 09:00:00,426.5190124511719
O,12,0.328000009059906,2016-12-16 10:00:00,424.6780090332031
N,0,-9.989999771118164,2016-12-16 11:00:00,
O,4,1.1610000133514404,2016-12-16 12:00:00,425.5840148925781
O,12,1.3250000476837158,2016-12-16 13:00:00,426.53900146484375
O,12,6.22599983215332,2016-12-16 14:00:00,431.64599609375
O,12,6.72599983215332,2016-12-16 15:00:00,436.0010070800781
O,12,3.130000114440918,2016-12-16 16:00:00,431.3489990234375
O,12,0.4090000092983246,2016-12-16 17:00:00,429.5929870605469
O,12,0.7049999833106995,2016-12-16 18:00:00,431.760986328125
N,0,-9.989999771118164,2016-12-16 19:00:00,
N,0,-9.989999771118164,2016-12-16 20:00:00,
N,0,-9.989999771118164,2016-12-16 21:00:00,
N,0,-9.989999771118164,2016-12-16 22:00:00,
N,0,-9.989999771118164,2016-12-16 23:00:00,
N,0,-9.989999771118164,2016-12-17 00:00:00,
N,0,-9.989999771118164,2016-12-17 01:00:00,
O,4,0.6650000214576721,2016-12-17 02:00:00,451.2980041503906
O,12,0.7789999842643738,2016-12-17 03:00:00,455.45599365234375
O,12,0.24500000476837158,2016-12-17 04:00:00,453.6289978027344
O,12,0.3409999907016754,2016-12-17 05:00:00,454.6400146484375
O,12,1.4320000410079956,2016-12-17 06:00:00,455.2980041503906
O,12,1.3760000467300415,2016-12-17 07:00:00,453.7879943847656
O,12,0.6710000038146973,2016-12-17 08:00:00,452.5559997558594
O,12,0.3659999966621399,2016-12-17 09:00:00,450.75201416015625
O,8,0.45100000500679016,2016-12-17 10:00:00,450.0220031738281
O,12,0.796999990940094,2016-12-17 11:00:00,451.85699462890625
O,12,1.2760000228881836,2016-12-17 12:00:00,453.635986328125
O,12,1.093999981880188,2016-12-17 13:00:00,457.81298828125
O,12,0.7540000081062317,2016-12-17 14:00:00,460.3080139160156
O,12,3.4609999656677246,2016-12-17 15:00:00,462.114013671875
O,12,1.9950000047683716,2016-12-17 16:00:00,460.9209899902344
O,4,0.3479999899864197,2016-12-17 17:00:00,461.95599365234375
O,12,0.5440000295639038,2016-12-17 18:00:00,454.77099609375
O,12,3.4059998989105225,2016-12-17 19:00:00,455.9490051269531
O,12,3.549999952316284,2016-12-17 20:00:00,461.88800048828125
O,12,1.4730000495910645,2016-12-17 21:00:00,467.06500244140625
O,12,2.5450000762939453,2016-12-17 22:00:00,460.87200927734375
O,12,0.9490000009536743,2016-12-17 23:00:00,458.4150085449219
O,12,3.4739999771118164,2016-12-18 00:00:00,459.1050109863281
O,4,0.0430000014603138,2016-12-18 01:00:00,456.3599853515625
O,12,5.598999977111816,2016-12-18 02:00:00,466.4580078125
O,12,3.7100000381469727,2016-12-18 03:00:00,468.3190002441406
O,12,2.2869999408721924,2016-12-18 04:00:00,471.0849914550781
O,12,1.218000054359436,2016-12-18 05:00:00,471.8280029296875
O,12,1.9930000305175781,2016-12-18 06:00:00,472.114990234375
O,12,2.944999933242798,2016-12-18 07:00:00,468.80999755859375
O,8,0.45899999141693115,2016-12-18 08:00:00,467.22900390625
O,8,0.8610000014305115,2016-12-18 09:00:00,469.7460021972656
O,12,0.25699999928474426,2016-12-18 10:00:00,468.84600830078125
O,12,0.9440000057220459,2016-12-18 11:00:00,469.0539855957031
O,12,0.7200000286102295,2016-12-18 12:00:00,471.6419982910156
O,12,1.378999948501587,2016-12-18 13:00:00,472.72601318359375
O,12,0.7210000157356262,2016-12-18 14:00:00,469.5469970703125
O,12,2.5789999961853027,2016-12-18 15:00:00,468.1059875488281
O,8,0.7829999923706055,2016-12-18 16:00:00,466.67401123046875
O,12,3.484999895095825,2016-12-18 17:00:00,458.20098876953125
O,12,3.128000020980835,2016-12-18 18:00:00,456.968994140625
O,12,0.367000013589859,2016-12-18 19:00:00,462.49700927734375
O,12,0.550000011920929,2016-12-18 20:00:00,474.47198486328125
O,12,5.9029998779296875,2016-12-18 21:00:00,463.7590026855469
O,12,4.396999835968018,2016-12-18 22:00:00,466.6820068359375
O,8,6.072000026702881,2016-12-18 23:00:00,477.093994140625
O,8,0.7519999742507935,2016-12-19 00:00:00,480.49798583984375
O,12,2.0339999198913574,2016-12-19 01:00:00,475.968994140625
O,12,4.13100004196167,2016-12-19 02:00:00,463.7799987792969
O,12,1.6460000276565552,2016-12-19 03:00:00,458.7699890136719
O,12,1.2580000162124634,2016-12-19 04:00:00,451.6719970703125
O,12,1.0240000486373901,2016-12-19 05:00:00,448.8810119628906
O,12,1.8730000257492065,2016-12-19 06:00:00,446.5580139160156
O,4,0.22100000083446503,2016-12-19 07:00:00,444.6610107421875
O,12,3.63100004196167,2016-12-19 08:00:00,442.8030090332031
O,12,1.9600000381469727,2016-12-19 09:00:00,428.0050048828125
O,12,0.2619999945163727,2016-12-19 10:00:00,427.4620056152344
O,12,0.23600000143051147,2016-12-19 11:00:00,427.1159973144531
