Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Suorasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2),Säteilytase (W/m2),Heijastunutsäteily (W/m2),Paisteaika (s),UV-B-säteily (index)
2015,1,1,00:00,UTC,-1.1,1,-0.3,319.8,,,,0,0.1
2015,1,1,01:00,UTC,-1,0.8,-0.3,320.1,,,,0,0.1
2015,1,1,02:00,UTC,-1.6,1,-0.9,264.1,,,,0,0.1
2015,1,1,03:00,UTC,-1.4,1,-0.4,291,,,,0,0.1
2015,1,1,04:00,UTC,-1.7,1,-1,285.3,,,,0,0
2015,1,1,05:00,UTC,-1.3,0.8,-0.5,311.2,,,,0,0.1
2015,1,1,06:00,UTC,-1,0.3,-0.3,311.2,,,,0,0.1
2015,1,1,07:00,UTC,-0.4,1,0.3,303.5,,,,0,0.1
2015,1,1,08:00,UTC,9.5,0.2,10.6,308.4,,,,0,0.1
2015,1,1,09:00,UTC,21.1,0.6,22.3,326.4,,,,0,0.1
2015,1,1,10:00,UTC,25.2,1.3,26.6,325.7,,,,0,0.1
2015,1,1,11:00,UTC,32.3,1.3,33.8,322.7,,,,0,0.1
2015,1,1,12:00,UTC,16.4,1.8,17.7,323,,,,0,0.1
2015,1,1,13:00,UTC,2.1,1,3.1,322.7,,,,0,0.1
2015,1,1,14:00,UTC,-1.2,1.1,-0.3,321.9,,,,0,0.1
2015,1,1,15:00,UTC,-0.5,0.9,0.2,321.2,,,,0,0.1
2015,1,1,16:00,UTC,-1.1,0.8,-0.1,322,,,,0,0.1
2015,1,1,17:00,UTC,-0.6,1.2,0.5,324.3,,,,0,0.1
2015,1,1,18:00,UTC,-0.7,1.3,0.2,326.3,,,,0,0.1
2015,1,1,19:00,UTC,-1.2,1.1,-0.3,327.7,,,,0,0.1
2015,1,1,20:00,UTC,-0.7,1.2,0.1,328.2,,,,0,0.1
2015,1,1,21:00,UTC,-0.8,0.7,0,328.6,,,,0,0.1
2015,1,1,22:00,UTC,-0.8,1,0.1,329,,,,0,0
2015,1,1,23:00,UTC,-1.2,0.6,-0.2,328.7,,,,0,0
2015,1,2,00:00,UTC,-1.1,0.6,-0.2,327.7,,,,0,0.1
2015,1,2,01:00,UTC,-0.8,1.1,0.2,329.1,,,,0,0.1
2015,1,2,02:00,UTC,-1.3,0.8,-0.2,330.2,,,,0,0.1
2015,1,2,03:00,UTC,-1.2,0.6,-0.1,329.7,,,,0,0.1
2015,1,2,04:00,UTC,-1.2,0.7,-0.1,331,,,,0,0.1
2015,1,2,05:00,UTC,-1.2,1.9,-0.4,333.8,,,,0,0.1
2015,1,2,06:00,UTC,-1,2.1,-0.2,333.3,,,,0,0.1
2015,1,2,07:00,UTC,-0.9,1.7,0,333.1,,,,0,0.1
2015,1,2,08:00,UTC,2,1.9,3.2,332.1,,,,0,0.1
2015,1,2,09:00,UTC,4.9,2,6.2,331.2,,,,0,0.1
2015,1,2,10:00,UTC,4.3,1.7,5.4,332,,,,0,0.1
2015,1,2,11:00,UTC,9.4,1.8,10.4,331.2,,,,0,0.1
2015,1,2,12:00,UTC,6.7,2.3,7.5,332.7,,,,0,0.1
2015,1,2,13:00,UTC,0.6,2.4,1.5,336.3,,,,0,0.1
2015,1,2,14:00,UTC,-0.8,2.1,0.3,338,,,,0,0.1
2015,1,2,15:00,UTC,-1.2,2.5,0.1,330.2,,,,0,0.1
2015,1,2,16:00,UTC,-1.6,1.5,-0.2,323.5,,,,0,0.1
2015,1,2,17:00,UTC,-1.8,0.7,-0.8,267.1,,,,0,0.1
2015,1,2,18:00,UTC,-1.1,0.5,-0.3,309.4,,,,0,0.1
2015,1,2,19:00,UTC,-1.7,-0.2,-0.9,279.8,,,,0,0.1
2015,1,2,20:00,UTC,-1.4,0,-0.7,274.4,,,,0,0.1
2015,1,2,21:00,UTC,-2.2,0.1,-1.6,233.7,,,,0,0.1
2015,1,2,22:00,UTC,-2.1,-0.2,-1.3,258.2,,,,0,0.1
2015,1,2,23:00,UTC,-1.9,0.5,-1.3,253.2,,,,0,0
2015,1,3,00:00,UTC,-2,-0.5,-1.3,255.3,,,,0,0.1
2015,1,3,01:00,UTC,-1.8,-0.1,-0.9,255.1,,,,0,0.1
2015,1,3,02:00,UTC,-1.5,-0.8,-0.7,261.8,,,,0,0.1
2015,1,3,03:00,UTC,-1.9,0.4,-0.8,311.2,,,,0,0.1
2015,1,3,04:00,UTC,-2.1,1.1,-1.1,307.4,,,,0,0.1
